"","x"
"1","0610009B22Rik"
"2","0610012G03Rik"
"3","1110032A03Rik"
"4","1110065P20Rik"
"5","1190007I07Rik"
"6","1500011B03Rik"
"7","1600012H06Rik"
"8","1600014C10Rik"
"9","1700001L19Rik"
"10","1700010I14Rik"
"11","1700013H16Rik"
"12","1700028K03Rik"
"13","1700029J07Rik"
"14","1700088E04Rik"
"15","1700123O20Rik"
"16","1810013L24Rik"
"17","1810065E05Rik"
"18","2200002D01Rik"
"19","2210016F16Rik"
"20","2210016L21Rik"
"21","2310022A10Rik"
"22","2310022B05Rik"
"23","2310033P09Rik"
"24","2310039H08Rik"
"25","2510002D24Rik"
"26","2610318N02Rik"
"27","3110040N11Rik"
"28","4930447C04Rik"
"29","4930469K13Rik"
"30","4930503L19Rik"
"31","4930523C07Rik"
"32","4930550C14Rik"
"33","4930563E22Rik"
"34","4931414P19Rik"
"35","4933434E20Rik"
"36","5430403G16Rik"
"37","5730409E04Rik"
"38","6030468B19Rik"
"39","6720489N17Rik"
"40","8030474K03Rik"
"41","9030025P20Rik"
"42","9130023H24Rik"
"43","9930021J03Rik"
"44","A130010J15Rik"
"45","A1bg"
"46","A430033K04Rik"
"47","A630089N07Rik"
"48","Aamdc"
"49","Abca9"
"50","Abcb1a"
"51","Abcb7"
"52","Abcc10"
"53","Abcc3"
"54","Abcd1"
"55","Abcg1"
"56","Abcg4"
"57","Abhd14b"
"58","Abhd3"
"59","Abhd8"
"60","Abi3"
"61","Abi3bp"
"62","Abl1"
"63","Ablim1"
"64","Ablim2"
"65","Abr"
"66","Abraxas1"
"67","Abtb1"
"68","Acad8"
"69","Acadm"
"70","Acap3"
"71","Acat1"
"72","Acat2"
"73","Acat3"
"74","Ace2"
"75","Acer3"
"76","Acot11"
"77","Acot13"
"78","Acot7"
"79","Acox3"
"80","Acp5"
"81","Acsf2"
"82","Acsl5"
"83","Acsm3"
"84","Acss1"
"85","Acta1"
"86","Acta2"
"87","Actc1"
"88","Actg2"
"89","Actn1"
"90","Actn3"
"91","Actr6"
"92","Acvr1b"
"93","Acy3"
"94","Acyp1"
"95","Acyp2"
"96","Adad1"
"97","Adam15"
"98","Adam19"
"99","Adam22"
"100","Adam8"
"101","Adamts1"
"102","Adamts12"
"103","Adamts15"
"104","Adamts18"
"105","Adamts19"
"106","Adamts7"
"107","Adamts8"
"108","Adamtsl1"
"109","Adap2"
"110","Adar"
"111","Adarb1"
"112","Adat2"
"113","Adck2"
"114","Adck5"
"115","Adcy10"
"116","Adcy3"
"117","Adcy6"
"118","Add2"
"119","Add3"
"120","Adgra2"
"121","Adgre1"
"122","Adgrf5"
"123","Adgrg2"
"124","Adgrl1"
"125","Adgrl3"
