"","x"
"1","0610040J01Rik"
"2","1110038F14Rik"
"3","1110059E24Rik"
"4","1110059G10Rik"
"5","1700017B05Rik"
"6","1700037H04Rik"
"7","1810037I17Rik"
"8","2200002J24Rik"
"9","2210418O10Rik"
"10","2310030G06Rik"
"11","2310057M21Rik"
"12","2310061I04Rik"
"13","2700062C07Rik"
"14","4930486L24Rik"
"15","4931406C07Rik"
"16","4931428F04Rik"
"17","6030498E09Rik"
"18","A2m"
"19","A530016L24Rik"
"20","Aaas"
"21","Aagab"
"22","Aak1"
"23","Aard"
"24","Aars2"
"25","Aass"
"26","Aatf"
"27","Abat"
"28","Abcb10"
"29","Abcb1b"
"30","Abcb6"
"31","Abcb8"
"32","Abcc1"
"33","Abcg2"
"34","Abhd13"
"35","Abhd15"
"36","Abhd16a"
"37","Abhd6"
"38","Abracl"
"39","Abt1"
"40","Acaa1a"
"41","Acbd3"
"42","Ackr3"
"43","Acly"
"44","Acot1"
"45","Acp6"
"46","Acrbp"
"47","Acsbg1"
"48","Acsf3"
"49","Acss2"
"50","Actn4"
"51","Actr1a"
"52","Actr1b"
"53","Actr3b"
"54","Acy1"
"55","Adam12"
"56","Adam9"
"57","Adamts10"
"58","Adamts16"
"59","Adamts9"
"60","Adamtsl3"
"61","Adat3"
"62","Adgra3"
"63","Adh1"
"64","Adipor2"
"65","Adnp2"
"66","Adora1"
"67","Adrm1b"
"68","Aen"
"69","Agbl5"
"70","Agl"
"71","Agpat4"
"72","Agps"
"73","Agrn"
"74","Agtrap"
"75","Ahi1"
"76","Ahr"
"77","Ahsg"
"78","AI837181"
"79","Aif1l"
"80","Aifm1"
"81","Aimp2"
"82","Ajuba"
"83","Ak1"
"84","Akap12"
"85","Akr1b3"
"86","Akr1b7"
"87","Akr1b8"
"88","Akr1cl"
"89","Akt2"
"90","Aldh16a1"
"91","Aldh18a1"
"92","Aldh1a1"
"93","Aldh1a7"
"94","Aldh1l1"
"95","Aldh9a1"
"96","Alg1"
"97","Alg10b"
"98","Alg11"
"99","Alg13"
"100","Alg3"
"101","Alg5"
"102","Alkbh2"
"103","Alkbh4"
"104","Alkbh6"
"105","Alpl"
"106","Als2"
"107","Als2cl"
"108","Alx1"
"109","Amdhd2"
"110","Amh"
"111","Amn1"
"112","Amotl2"
"113","Ampd2"
"114","Anapc1"
"115","Anapc16"
"116","Ank"
"117","Ankle1"
"118","Ankrd10"
"119","Ankrd11"
"120","Ankrd13a"
"121","Ankrd40"
"122","Ankrd44"
"123","Ankrd63"
"124","Ankrd9"
"125","Anks1"
"126","Ankzf1"
"127","Anln"
"128","Ano6"
"129","Anp32a"
"130","Anp32b"
"131","Anp32e"
"132","Antkmt"
"133","Anxa11"
"134","Ap1s1"
"135","Ap2a1"
"136","Ap2a2"
"137","Ap2b1"
"138","Ap4m1"
"139","Ap5b1"
"140","Ap5z1"
"141","Apaf1"
"142","Apba2"
"143","Apba3"
"144","Apbb3"
"145","Apeh"
"146","Apex2"
"147","Aph1a"
"148","Api5"
"149","App"
"150","Aqp5"
"151","Arel1"
"152","Arf6"
"153","Arfgap1"
"154","Arfgef2"
"155","Arhgap11a"
"156","Arhgap12"
"157","Arhgap17"
"158","Arhgap19"
"159","Arhgap33"
"160","Arhgap39"
"161","Arhgdia"
"162","Arhgdig"
"163","Arhgef1"
"164","Arhgef10"
"165","Arhgef10l"
"166","Arhgef2"
"167","Arhgef26"
"168","Arhgef28"
"169","Arhgef3"
"170","Arhgef39"
"171","Arhgef4"
"172","Arhgef40"
"173","Arhgef7"
"174","Arid5a"
"175","Arid5b"
"176","Arl10"
"177","Arl15"
"178","Arl5a"
"179","Arl5b"
"180","Armc2"
"181","Armc5"
"182","Armc6"
"183","Armcx2"
"184","Armcx5"
"185","Armt1"
"186","Arpc1b"
"187","Arrdc2"
"188","Arrdc3"
"189","Arsa"
"190","Arsb"
"191","Arsk"
"192","Art3"
"193","Arxes2"
"194","Asap2"
"195","Asb6"
"196","Ascc2"
"197","Asph"
"198","Aspm"
"199","Aspscr1"
"200","Ass1"
"201","Aste1"
"202","Atad2"
"203","Atad3a"
"204","Atf6b"
"205","Atf7"
"206","Atg10"
"207","Atg12"
"208","Atg14"
"209","Atg2a"
"210","Atg2b"
"211","Atg4b"
"212","Atg4d"
"213","Atg7"
"214","Atg9a"
"215","Atg9b"
"216","Atic"
"217","Atosa"
"218","Atp13a1"
"219","Atp1a1"
"220","Atp1a2"
"221","Atp23"
"222","Atp4a"
"223","Atp5e"
"224","Atp5j2"
"225","Atp5md"
"226","Atp6v0a1"
"227","Atp6v0b"
"228","Atp6v0e"
"229","Atp6v1g1"
"230","Atp8a1"
"231","Atp8b5"
"232","Atpsckmt"
"233","Atr"
"234","Atxn1l"
"235","Atxn2l"
"236","Atxn7l2"
"237","AU021092"
"238","AU040320"
"239","Aurka"
"240","Aurkb"
"241","Auts2"
"242","Axl"
"243","Azin1"
"244","B3galnt1"
"245","B3gnt8"
"246","B4galt4"
"247","B630019K06Rik"
"248","Bag4"
"249","Bag5"
"250","Bahcc1"
"251","Baiap2"
"252","Baiap2l1"
"253","Bambi"
"254","Bap1"
"255","Baz1b"
"256","Baz2a"
"257","Bbln"
"258","Bbs2"
"259","Bbx"
"260","BC003965"
"261","BC005624"
"262","BC031181"
"263","BC034090"
"264","BC055324"
"265","Bcap29"
"266","Bcar1"
"267","Bcar3"
"268","Bckdha"
"269","Bcl11b"
"270","Bcl2l11"
"271","Bcl2l13"
"272","Bcr"
"273","Bend4"
"274","Bet1l"
"275","Bex1"
"276","Bex2"
"277","Bex3"
"278","Bex4"
"279","Bfar"
