"","x"
"1","1110032F04Rik"
"2","1810062G17Rik"
"3","3830403N18Rik"
"4","3830406C13Rik"
"5","4930430F08Rik"
"6","8030462N17Rik"
"7","A430005L14Rik"
"8","Abca1"
"9","Abca4"
"10","Abcf1"
"11","Abhd2"
"12","Abi2"
"13","Ablim3"
"14","Acbd4"
"15","Acot2"
"16","Actb"
"17","Actr2"
"18","Acvr2b"
"19","Acvrl1"
"20","Adipor1"
"21","Ado"
"22","Afap1"
"23","Aff2"
"24","Ahnak"
"25","Alad"
"26","Aldh1b1"
"27","Ankrd37"
"28","Apoa1"
"29","Apoe"
"30","Arfgef1"
"31","Arglu1"
"32","Arhgap22"
"33","Arhgap4"
"34","Arhgap8"
"35","Arhgef17"
"36","Arhgef19"
"37","Armc7"
"38","Armh3"
"39","Asb1"
"40","Asf1b"
"41","Atp2b4"
"42","Atp6v1b2"
"43","B3galt1"
"44","B3galt4"
"45","B3gnt9"
"46","Bax"
"47","BC024978"
"48","Bcdin3d"
"49","Bcorl1"
"50","Birc6"
"51","Blvrb"
"52","Bmerb1"
"53","Bmp2"
"54","Bmt2"
"55","Bmyc"
"56","Bnc2"
"57","Borcs6"
"58","Brd3os"
"59","Brd4"
"60","Btrc"
"61","C1qtnf12"
"62","C1qtnf7"
"63","C77080"
"64","Calr4"
"65","Camkmt"
"66","Camta1"
"67","Cap2"
"68","Capsl"
"69","Car14"
"70","Carf"
"71","Cavin1"
"72","Cbfa2t2"
"73","Cbx3"
"74","Ccdc103"
"75","Ccdc182"
"76","Ccdc6"
"77","Ccdc80"
"78","Ccdc92"
"79","Cd300c2"
"80","Cd74"
"81","Cd79b"
"82","Cd83"
"83","Cdcp1"
"84","Cdkn2d"
"85","Cds2"
"86","Cebpa"
"87","Cert1"
"88","Cfi"
"89","Chd9"
"90","Chmp4b"
"91","Chpt1"
"92","Chst2"
"93","Ciao2b"
"94","Clip1"
"95","Cln6"
"96","Clstn1"
"97","Cnnm4"
"98","Coro2b"
"99","Cramp1"
"100","Crim1"
"101","Crip2"
"102","Crtc3"
"103","Csk"
"104","Csnk2a1"
"105","Ctsb"
"106","Ctsd"
"107","Cygb"
"108","Cyp39a1"
"109","D17H6S53E"
"110","Daglb"
