"","x"
"1","Cdc45"
"2","Brat1"
"3","Gna12"
"4","Ccnd2"
"5","Tspan32"
"6","Gmpr"
"7","Mnt"
"8","Tmprss2"
"9","Cttnbp2"
"10","Pdgfb"
"11","Acvrl1"
"12","Acvr1b"
"13","Tom1l2"
"14","Sox9"
"15","Gm2a"
"16","Hk2"
"17","Myo18a"
"18","Abhd15"
"19","Loxl3"
"20","Polr3d"
"21","Tcf7"
"22","Usp32"
"23","Mmp11"
"24","Icam4"
"25","N4bp3"
"26","Vps9d1"
"27","Mfsd10"
"28","Slc13a2"
"29","Cnnm3"
"30","Pcnt"
"31","Uhrf1"
"32","Lsr"
"33","Gramd1a"
"34","Ckb"
"35","Rnd2"
"36","Fbxo9"
"37","Ube2c"
"38","Mef2d"
"39","Col18a1"
"40","Itga3"
"41","Foxm1"
"42","Itfg2"
"43","Ell2"
"44","Jup"
"45","Nom1"
"46","Acap1"
"47","Akr1b3"
"48","Ubl3"
"49","Eef1e1"
"50","Naglu"
"51","Folr1"
"52","Aif1l"
"53","Taco1"
"54","Gria3"
"55","Ap4e1"
"56","Spag5"
"57","Unc119"
"58","Bbc3"
"59","Mybpc3"
"60","Smg9"
"61","Mov10"
"62","Metrn"
"63","Lmf1"
"64","Daxx"
"65","Cd320"
"66","Dhrs1"
"67","Braf"
"68","Tiam1"
"69","Puf60"
"70","Axl"
"71","Tgfb1"
"72","Pdcd2l"
"73","Prkra"
"74","Fkbp7"
"75","Gnmt"
"76","Ggct"
"77","Epdr1"
"78","Top3a"
"79","Chaf1a"
"80","Pla1a"
"81","Tpra1"
"82","Il17ra"
"83","Map2k7"
"84","Bcam"
"85","Relb"
"86","Prkar2b"
"87","Elf3"
"88","Efna2"
"89","Tbc1d8"
"90","Slc2a3"
"91","Eif2b5"
"92","Sult2b1"
"93","Hck"
"94","Mrpl4"
"95","Ap1m2"
"96","Abhd17a"
"97","Rab3b"
"98","Ncstn"
"99","Impdh1"
"100","Prodh"
"101","Ddr1"
"102","Ier3"
"103","Fosb"
"104","Cp"
"105","Crot"
"106","Rps6ka1"
"107","Kpna6"
"108","Mast2"
"109","Rad23a"
"110","Calr"
"111","Syce2"
"112","Lin7b"
"113","Mmd"
"114","Cavin1"
"115","Map3k11"
"116","Map3k20"
"117","Dnmt1"
"118","Angptl2"
"119","Kifc2"
"120","Psap"
"121","Ptpn6"
"122","Clcn5"
"123","Clcn3"
"124","Spic"
"125","Cul3"
"126","Tbccd1"
"127","Gab2"
"128","Ctse"
"129","Arhgef40"
"130","Pnpla6"
"131","Arhgef18"
"132","Chn2"
"133","Aqp1"
"134","Arid3b"
"135","Mtfp1"
"136","Mapk13"
"137","Lbr"
"138","Nes"
"139","Bcan"
"140","Prcc"
"141","Slc25a18"
"142","Thop1"
"143","Hspb1"
"144","Sgsh"
"145","Eif2ak4"
"146","Man2b1"
"147","Polr2a"
"148","Shbg"
"149","Plekha8"
"150","Spc25"
"151","Letm1"
"152","Ubqln1"
"153","Slc1a6"
"154","Mlxipl"
"155","Tbl2"
"156","Nid1"
"157","Mcm5"
"158","Hmox1"
"159","Cic"
"160","Asf1b"
"161","Ddx39a"
"162","Celf1"
"163","Atp4a"
"164","Adcy9"
"165","Mef2c"
"166","Mthfd2"
"167","Pard6a"
"168","Tfap4"
"169","Ncoa2"
"170","Ephb3"
"171","Rcn1"
"172","Dhx34"
"173","Htra1"
"174","Mob1b"
"175","Tep1"
"176","Tmem147"
"177","Ggt1"
"178","Crip1"
"179","Cbfa2t3"
"180","Cdc20"
"181","Epha2"
"182","Nsmf"
"183","Mvd"
"184","Cdt1"
"185","Usp19"
"186","Gmnn"
"187","Zfp184"
"188","Mettl1"
"189","Cnp"
"190","Ezh1"
"191","P3h4"
"192","Vars"
"193","Neu1"
"194","Lsm2"
"195","Pole"
"196","Scube2"
"197","Rhoa"
"198","Aldh16a1"
"199","Id3"
"200","Ctsd"
"201","Fgfrl1"
"202","Elk3"
"203","Gprc5b"
"204","Hdac5"
"205","Tmem184b"
"206","Derl3"
"207","Ube2g2"
"208","Elk1"
"209","Nav1"
"210","G0s2"
"211","Oit3"
"212","Fxyd5"
"213","Nuak2"
"214","Kdsr"
"215","Nxf2"
"216","Kif19a"
"217","Tmem115"
"218","Ifrd2"
"219","Slc38a3"
"220","Cacna2d2"
"221","Slc3a2"
"222","Raver1"
"223","Bltp2"
"224","Tmem86a"
"225","Ifi35"
"226","Mrpl52"
"227","Kansl3"
"228","Faf1"
"229","Plcd1"
"230","Gabra1"
"231","Akt1s1"
"232","Pabpc4"
"233","Exoc3l2"
"234","Bnip2"
"235","Tjap1"
"236","Mplkip"
"237","Kif11"
"238","Mlkl"
"239","Ttll5"
"240","Cdh23"
"241","Adgrl1"
"242","Etv5"
"243","Gfod2"
"244","Fer1l4"
"245","Cad"
"246","Sh3bp5l"
"247","Pea15a"
"248","Mertk"
"249","Map3k4"
"250","Piezo1"
"251","Csf1"
"252","Dll1"
"253","Plekhg4"
"254","Tppp3"
"255","Naf1"
"256","Acsf3"
"257","Gata2"
"258","Ptgds"
"259","Npdc1"
"260","Slc25a13"
"261","Unkl"
"262","Hmgb3"
"263","Gadd45b"
"264","Zdhhc12"
"265","Xk"
"266","Ace2"
"267","Ppt2"
"268","Atp6v0e"
"269","Steap1"
"270","Steap2"
"271","Serac1"
"272","Anxa9"
"273","Aph1a"
"274","Eps8"
"275","Sqstm1"
"276","Fam184b"
"277","Ncapg"
"278","Actr8"
"279","Celsr1"
"280","Camk1g"
"281","Lnx2"
"282","Dyrk3"
"283","Bik"
"284","Sdc4"
"285","Cyth1"
"286","Brca1"
"287","Nt5c3b"
"288","Traf4"
"289","C1qtnf1"
"290","Pipox"
"291","Cdc6"
"292","Atad5"
"293","Rab11fip4"
"294","Slc35c2"
"295","Wsb1"
"296","Ada"
"297","Serinc3"
"298","Birc5"
"299","Pigt"
"300","Slc12a7"
"301","Ctsa"
"302","Zswim1"
"303","Slc12a4"
"304","Retreg3"
"305","Rab5a"
"306","H2bc4"
"307","Mafk"
"308","Erbb3"
"309","Stk4"
"310","Gpx3"
"311","Abi3"
"312","Myo1b"
"313","Cenpv"
"314","Cldn7"
"315","Sparc"
"316","Slc25a39"
"317","Sp2"
"318","Mpdu1"
"319","Fdxr"
"320","Pelp1"
"321","E2f2"
"322","Plod1"
"323","Slc25a22"
"324","Rnf145"
"325","Chtf18"
"326","Map1s"
"327","Hsd17b1"
"328","Atp6v0a1"
"329","Psmc3ip"
"330","Gdpd2"
"331","Slc6a8"
"332","Cyb561"
"333","Sema6a"
"334","Fbxo5"
"335","Mtrf1l"
"336","Hdac2"
"337","Lrp11"
"338","Cd164"
"339","Mical1"
"340","Zbtb24"
"341","Rev3l"
"342","Traf3ip2"
"343","Fyn"
"344","Lama4"
"345","Popdc3"
"346","Tnfaip3"
"347","Hebp2"
"348","Smpdl3a"
"349","Echdc1"
"350","Ptprk"
"351","P4ha1"
"352","Epyc"
"353","Cdk1"
"354","Dusp6"
"355","Sgk1"
"356","Ikbip"
"357","Mtfr2"
"358","Map7"
"359","Ccn2"
"360","Stx7"
"361","Pex7"
"362","Fgd6"
"363","Tmcc3"
"364","Socs2"
"365","Nuak1"
"366","Timp3"
"367","Tysnd1"
"368","Npffr1"
"369","Eif4ebp2"
"370","Pald1"
"371","Slc29a3"
"372","Slc16a7"
"373","Dnajb12"
"374","Peli1"
"375","Lgr5"
"376","Tcf3"
"377","E2f7"
"378","Csrp2"
"379","Phlda1"
"380","Sf3a2"
"381","Jsrp1"
"382","Wif1"
"383","Dip2a"
"384","Nopchap1"
"385","Pofut2"
"386","Adarb1"
"387","Appl2"
"388","Stk10"
"389","Rel"
"390","Fstl3"
"391","Polrmt"
"392","Hmmr"
"393","Rasgef1c"
"394","Pdlim4"
"395","Kremen1"
"396","Nipal4"
"397","Pttg1"
"398","Castor1"
"399","Igfbp3"
"400","Patz1"
"401","Polm"
"402","Pgam2"
"403","Mrps24"
"404","Xbp1"
"405","Septin4"
"406","Smg8"
"407","Shmt1"
"408","Srebf1"
"409","Pctp"
"410","Sypl"
"411","Nrcam"
"412","Lratd1"
"413","Adi1"
"414","Rnf144a"
"415","Dus4l"
"416","Cenpo"
"417","Rab10"
"418","Sntg2"
"419","Taf15"
"420","Itgb3"
"421","Rnf135"
"422","Pecam1"
"423","Helz"
"424","Mif4gd"
"425","Pafah1b1"
"426","Unk"
"427","Trim47"
"428","Llgl2"
"429","Ube2o"
"430","Rhbdf2"
"431","Pimreg"
"432","Sec14l1"
"433","Dhrs13"
"434","Slc6a4"
"435","Xylt2"
"436","Scrn2"
"437","Dvl2"
"438","Nr1d1"
"439","Per1"
"440","Vamp2"
"441","Tmem107"
"442","Aurkb"
"443","Ctc1"
"444","Pfas"
"445","Top2a"
"446","Stat5b"
"447","Lsm12"
"448","Dnaaf2"
"449","Pole2"
"450","Nfkbia"
"451","Mthfd1"
"452","Ppp2r5e"
"453","Sptb"
"454","Nin"
"455","Rtn1"
"456","Hif1a"
"457","Susd6"
"458","Smoc1"
"459","Cdca7l"
"460","Efcab11"
"461","Nrde2"
"462","Dglucy"
"463","Trip11"
"464","Lgmn"
"465","Chga"
"466","Pfkp"
"467","Tgfb3"
"468","Ccnk"
"469","Degs2"
"470","Fdft1"
"471","Ppp1r13b"
"472","Zfyve21"
"473","Kif26a"
"474","Gpr137b"
"475","Gli3"
"476","Sfrp4"
"477","Trim27"
"478","Nedd9"
"479","Edn1"
"480","Susd3"
"481","Cenpp"
"482","Nxnl2"
"483","Ripk1"
"484","Eci2"
"485","Sema4d"
"486","Gadd45g"
"487","Syk"
