"","x"
"1","0610040J01Rik"
"2","1190005I06Rik"
"3","1500009L16Rik"
"4","1600014C10Rik"
"5","1700001L19Rik"
"6","1700025G04Rik"
"7","1700028K03Rik"
"8","1700029J07Rik"
"9","1700088E04Rik"
"10","1810030O07Rik"
"11","1810065E05Rik"
"12","2200002J24Rik"
"13","2210418O10Rik"
"14","2310022B05Rik"
"15","2310030G06Rik"
"16","2310057M21Rik"
"17","2510002D24Rik"
"18","2510009E07Rik"
"19","2610008E11Rik"
"20","2810408A11Rik"
"21","4930447C04Rik"
"22","4930503L19Rik"
"23","6330403K07Rik"
"24","8030462N17Rik"
"25","8030474K03Rik"
"26","9130023H24Rik"
"27","9930012K11Rik"
"28","9930104L06Rik"
"29","Aar2"
"30","Abat"
"31","Abca4"
"32","Abca5"
"33","Abca9"
"34","Abcb7"
"35","Abcc3"
"36","Abcc5"
"37","Abcd1"
"38","Abcd4"
"39","Abce1"
"40","Abcg2"
"41","Abhd11"
"42","Abhd12"
"43","Abhd14b"
"44","Abhd3"
"45","Abhd6"
"46","Abhd8"
"47","Abi2"
"48","Abi3bp"
"49","Ablim3"
"50","Abracl"
"51","Abt1"
"52","Acaa2"
"53","Acad10"
"54","Acadsb"
"55","Acadvl"
"56","Acap2"
"57","Acat1"
"58","Acat2"
"59","Acat3"
"60","Acbd4"
"61","Ackr3"
"62","Ackr4"
"63","Aco1"
"64","Acot7"
"65","Acox1"
"66","Acrbp"
"67","Acsl5"
"68","Acss1"
"69","Acta2"
"70","Actc1"
"71","Actg2"
"72","Actn1"
"73","Actn3"
"74","Actr2"
"75","Actr6"
"76","Adam19"
"77","Adam22"
"78","Adam8"
"79","Adamts12"
"80","Adamts15"
"81","Adamts18"
"82","Adamtsl1"
"83","Adcy10"
"84","Add1"
"85","Add2"
"86","Adgra2"
"87","Adgrb2"
"88","Adgrl3"
"89","Adm"
"90","Adnp"
"91","Adora2a"
"92","Adra1d"
"93","Adssl1"
"94","Adtrp"
"95","Afap1l1"
"96","Aff2"
"97","Aff3"
"98","Afmid"
"99","Aga"
"100","Agbl3"
"101","Ager"
"102","Ago1"
"103","Ago2"
"104","Agpat2"
"105","Agpat3"
"106","Agpat5"
"107","Agtpbp1"
"108","Agtr1a"
"109","Agtr2"
"110","Ahi1"
"111","Ahnak"
"112","Ahsa2"
"113","Aig1"
"114","Ak4"
"115","Ak7"
"116","Akip1"
"117","Akr1b10"
"118","Akr1c13"
"119","Akr1c14"
"120","Akr1c19"
"121","Akt1"
"122","Alad"
"123","Alas1"
"124","Alcam"
"125","Aldh1a2"
"126","Aldh1b1"
"127","Aldh5a1"
"128","Aldoc"
"129","Alg14"
"130","Alg9"
"131","Alox5ap"
"132","Alpk1"
"133","Amer1"
"134","Amer2"
"135","Amhr2"
"136","Amigo2"
"137","Amot"
"138","Amotl1"
"139","Amph"
"140","Amt"
"141","Anapc4"
"142","Angel1"
"143","Angpt1"
"144","Angpt2"
"145","Angpt4"
"146","Angptl4"
"147","Ank2"
"148","Ankfy1"
"149","Ankrd13c"
"150","Ankrd23"
"151","Ankrd29"
"152","Ankrd31"
"153","Ankrd35"
"154","Ankrd40"
"155","Ankrd45"
"156","Ano1"
"157","Antxr2"
"158","Anxa1"
"159","Ap1ar"
"160","Ap1g1"
"161","Apbb1"
"162","Aph1c"
"163","Api5"
"164","Aplp1"
"165","Apoc1"
"166","Apoe"
"167","App"
"168","Aprt"
"169","Aqp3"
"170","Arap3"
"171","Arc"
"172","Arf3"
"173","Arglu1"
"174","Arhgap22"
"175","Arhgap24"
"176","Arhgap26"
"177","Arhgap28"
"178","Arhgap29"
"179","Arhgap42"
"180","Arhgap45"
"181","Arhgap8"
"182","Arhgdib"
"183","Arhgef12"
"184","Arhgef19"
"185","Arhgef25"
"186","Arhgef26"
"187","Arhgef5"
"188","Arhgef6"
"189","Arhgef9"
"190","Arid2"
"191","Arid3a"
"192","Arid5b"
"193","Arl14ep"
"194","Arl2bp"
"195","Arl3"
"196","Arl4c"
"197","Arl5b"
"198","Arl5c"
"199","Armcx1"
"200","Armt1"
"201","Arntl"
"202","Arpc5"
"203","Arrb2"
"204","Arrdc1"
"205","Arsg"
"206","Arx"
"207","Arxes1"
"208","Asap1"
"209","Asap3"
"210","Asb13"
"211","Asb2"
"212","Asb4"
"213","Asf1a"
"214","Atf2"
"215","Atf5"
"216","Atf6"
"217","Atg10"
"218","Atg4a"
"219","Atl1"
"220","Atosa"
"221","Atp11a"
"222","Atp11c"
"223","Atp2b3"
"224","Atp5g3"
"225","Atp5pb"
"226","Atp6v0e2"
"227","Atp6v1d"
"228","Atrn"
"229","Atrnl1"
"230","Atxn2"
"231","Atxn3"
"232","Atxn7l1"
"233","Avpr1a"
"234","AW551984"
"235","B230219D22Rik"
"236","B3galnt2"
"237","B3galt1"
"238","B3glct"
"239","B3gnt7"
"240","B3gnt9"
"241","B4galt2"
"242","B4galt5"
"243","Bace2"
"244","Bad"
"245","Bag1"
"246","Bag3"
"247","Bahd1"
"248","Bambi"
"249","Barx2"
"250","Batf3"
"251","Baz2b"
"252","Bbln"
"253","Bbs12"
"254","BC028528"
"255","Bcap29"
"256","Bcat1"
"257","Bcl11a"
"258","Bcl2"
"259","Bcor"
"260","Bdh2"
"261","Best1"
"262","Bgn"
"263","Bhlhe41"
"264","Bicc1"
"265","Bicdl1"
"266","Bid"
"267","Bin2"
"268","Blcap"
"269","Bloc1s4"
"270","Blvrb"
"271","Bmf"
"272","Bmp1"
"273","Bmp2"
"274","Bmp2k"
"275","Bmp4"
"276","Bmp5"
"277","Bmp7"
"278","Bmpr1b"
"279","Bmt2"
"280","Bnc1"
"281","Bnc2"
"282","Bnip3l"
"283","Boc"
"284","Bpgm"
"285","Bpifb4"
"286","Brca2"
"287","Brd1"
"288","Brd3"
"289","Brf1"
"290","Brf2"
"291","Bri3"
"292","Brinp1"
"293","Brme1"
"294","Brwd1"
"295","Brwd3"
"296","Btbd1"
"297","Btbd11"
"298","Btbd6"
"299","Btg1"
"300","Btg2"
"301","Bzw2"
"302","C130074G19Rik"
"303","C1galt1c1"
"304","C1qtnf3"
"305","C1qtnf4"
"306","C1qtnf7"
"307","C2"
"308","C2cd2"
"309","C2cd4b"
"310","C2cd5"
"311","C9orf72"
"312","Cabcoco1"
"313","Cachd1"
"314","Cacna1d"
"315","Cacnb1"
"316","Cacnb3"
"317","Calb1"
"318","Calcrl"
"319","Cald1"
"320","Calml4"
"321","Calr3"
"322","Camk1"
"323","Camsap2"
"324","Camta1"
"325","Cap2"
"326","Capg"
"327","Capn2"
"328","Caprin1"
"329","Car11"
"330","Car14"
"331","Car2"
"332","Card9"
"333","Casd1"
"334","Cask"
"335","Casp3"
"336","Casp6"
"337","Castor2"
"338","Cat"
"339","Cav1"
"340","Cavin3"
"341","Cbwd1"
"342","Cbx3"
"343","Cbx4"
"344","Cc2d2a"
"345","Ccbe1"
"346","Ccdc102a"
"347","Ccdc103"
"348","Ccdc106"
"349","Ccdc107"
"350","Ccdc112"
"351","Ccdc115"
"352","Ccdc117"
"353","Ccdc122"
"354","Ccdc125"
"355","Ccdc136"
"356","Ccdc14"
"357","Ccdc141"
"358","Ccdc159"
"359","Ccdc182"
"360","Ccdc189"
"361","Ccdc191"
"362","ccdc198"
"363","Ccdc28b"
"364","Ccdc30"
"365","Ccdc40"
"366","Ccdc42"
"367","Ccdc50"
"368","Ccdc6"
"369","Ccdc61"
"370","Ccdc69"
"371","Ccdc71"
"372","Ccdc80"
"373","Ccdc85c"
"374","Ccdc88c"
"375","Ccdc89"
"376","Ccdc9"
"377","Ccdc90b"
"378","Ccdc92"
"379","Cck"
"380","Ccm2"
"381","Ccn4"
"382","Ccne1"
"383","Ccne2"
"384","Ccng2"
"385","Ccnj"
"386","Ccnjl"
"387","Ccnl2"
"388","Ccp110"
"389","Ccs"
"390","Ccser2"
"391","Cct4"
"392","Cct8"
"393","Cd200"
"394","Cd248"
"395","Cd24a"
"396","Cd2ap"
"397","Cd34"
"398","Cd36"
"399","Cd55"
"400","Cd59a"
"401","Cd74"
"402","Cd79b"
"403","Cd81"
"404","Cd82"
"405","Cd83"
"406","Cd9"
"407","Cdc14a"
"408","Cdc16"
"409","Cdc25b"
"410","Cdc42ep3"
"411","Cdc42ep5"
"412","Cdca7"
"413","Cdcp1"
"414","Cdh1"
"415","Cdh10"
"416","Cdh11"
"417","Cdh6"
"418","Cdhr4"
"419","Cdk14"
"420","Cdk17"
"421","Cdkn1a"
"422","Cdkn1b"
"423","Cdkn1c"
"424","Cdkn2d"
"425","Cdon"
"426","Cebpzos"
"427","Cela1"
"428","Celf2"
"429","Celf3"
"430","Celf4"
"431","Cep131"
"432","Cep170"
"433","Cep43"
"434","Cep57l1"
"435","Cep78"
"436","Cers5"
"437","Ces2g"
"438","Cfap126"
"439","Cfap300"
"440","Cfap410"
"441","Cfap54"
"442","Cfh"
"443","Cgn"
"444","Chd2"
"445","Chd3"
"446","Chfr"
"447","Chkb"
"448","Chm"
"449","Chmp4b"
"450","Chn1"
"451","Chpt1"
"452","Chrdl2"
"453","Chrm4"
"454","Chst12"
"455","Chst14"
"456","Chst15"
"457","Chst2"
"458","Chsy1"
"459","Ciao2b"
"460","Cib1"
"461","Cib2"
"462","Cinp"
"463","Cir1"
"464","Cisd2"
"465","Cited4"
"466","Cldn15"
"467","Cldn3"
"468","Cldn4"
"469","Cldn8"
"470","Clec2l"
"471","Clec4a1"
"472","Clic4"
"473","Clic6"
"474","Clint1"
"475","Clip2"
"476","Clk2"
"477","Clmp"
"478","Cln3"
"479","Clstn1"
"480","Clybl"
"481","Cmc2"
"482","Cmtm6"
"483","Cnih2"
"484","Cnn1"
"485","Cnn2"
"486","Cnot11"
"487","Cnpy4"
"488","Cnrip1"
"489","Cntfr"
"490","Cntln"
"491","Cntn4"
"492","Cntn5"
"493","Col12a1"
"494","Col1a1"
"495","Col1a2"
"496","Col22a1"
"497","Col23a1"
"498","Col26a1"
"499","Col3a1"
"500","Col4a5"
"501","Col5a1"
"502","Col5a2"
"503","Col6a2"
"504","Col6a3"
"505","Colec11"
"506","Colec12"
"507","Commd3"
"508","Commd7"
"509","Cops6"
"510","Copz2"
"511","Coq8a"
"512","Coq8b"
"513","Coro7"
"514","Cotl1"
"515","Cox17"
"516","Cox4i2"
"517","Cox6c"
"518","Cpa1"
"519","Cplx2"
"520","Cpm"
"521","Cpn1"
"522","Cpne1"
"523","Cpne5"
"524","Cpne8"
"525","Cpt1a"
"526","Cpt1c"
