"","x"
"1","Cox5a"
"2","Hddc2"
"3","Tpd52l1"
"4","Rpl13"
"5","Wfdc18"
"6","Zfp276"
"7","Mxd1"
"8","Ocrl"
"9","Vps50"
"10","Cct3"
"11","Gramd3"
"12","Coasy"
"13","Septin7"
"14","Idh3g"
"15","Borcs8"
"16","Plekha3"
"17","Dlgap1"
"18","Prkcsh"
"19","Gcdh"
"20","Nob1"
"21","Rpl8"
"22","Gstm5"
"23","Gstm7"
"24","Ppan"
"25","Etv1"
"26","Phb2"
"27","Utp20"
"28","Map2k1"
"29","Kbtbd4"
"30","Apc"
"31","Nr2c2"
"32","Osgep"
"33","Rps9"
"34","Pgrmc1"
"35","Steep1"
"36","Gtf2h1"
"37","Stambp"
"38","Atp1a2"
"39","Mark3"
"40","Tinf2"
"41","Hnrnph1"
"42","Fzd3"
"43","Relt"
"44","Ubc"
"45","Mgst1"
"46","Rpl10"
"47","Rps15a"
"48","Vdac3"
"49","Dynll1"
"50","Fads1"
"51","Lmbr1"
"52","Rps5"
"53","Slc41a1"
"54","Atad1"
"55","Zswim7"
"56","Mrps25"
"57","Msh3"
"58","Nolc1"
"59","Lpl"
"60","Cers2"
"61","Cnih1"
"62","Mtrex"
"63","Atp5e"
"64","Ppfibp1"
"65","Mapkapk2"
"66","Eif3d"
"67","Srsf6"
"68","Nbr1"
"69","Rnd3"
"70","Etv4"
"71","Ints2"
"72","Spag7"
"73","Nol11"
"74","Dusp14"
"75","Aatf"
"76","Scrn1"
"77","Noxo1"
"78","Smpd2"
"79","Qrsl1"
"80","Fabp7"
"81","Atp2b1"
"82","Epb41l2"
"83","Ddx21"
"84","Srgn"
"85","Vps26a"
"86","Wdr82"
"87","Nprl3"
"88","Wdpcp"
"89","Tcn2"
"90","Acaca"
"91","Nbas"
"92","Map2k6"
"93","Pxdn"
"94","Lig3"
"95","Ddx5"
"96","Cpd"
"97","Nme2"
"98","Spag9"
"99","Hoxb9"
"100","Acly"
"101","Coch"
"102","Adck1"
"103","Timm9"
"104","Ppm1a"
"105","Srsf5"
"106","Gm20498"
"107","Pcnx"
"108","Gtpbp4"
