"","E11.5_XX_enh8.mcherry_rep1","E11.5_XX_enh8.mcherry_rep2","E11.5_XX_enh8.mcherry_rep3","E11.5_XY_SOX9.IRES.GFP_rep1","E11.5_XY_SOX9.IRES.GFP_rep2","E11.5_XY_SOX9.IRES.GFP_rep3","E12.5_XX_enh8.mcherry_rep1","E12.5_XX_enh8.mcherry_rep2","E12.5_XX_enh8.mcherry_rep3","E12.5_XY_SOX9.IRES.GFP_rep1","E12.5_XY_SOX9.IRES.GFP_rep2","E12.5_XY_SOX9.IRES.GFP_rep3","E13.5_XX_enh8.mcherry_rep1","E13.5_XX_enh8.mcherry_rep2","E13.5_XX_enh8.mcherry_rep3","E13.5_XY_SOX9.IRES.GFP_rep1","E13.5_XY_SOX9.IRES.GFP_rep2","E13.5_XY_SOX9.IRES.GFP_rep3","E15.5_XX_enh8.mcherry_rep1","E15.5_XX_enh8.mcherry_rep2","E15.5_XX_enh8.mcherry_rep3","E15.5_XY_SOX9.IRES.GFP_rep1","E15.5_XY_SOX9.IRES.GFP_rep2","E15.5_XY_SOX9.IRES.GFP_rep3"
"0610005C13Rik",0.44,0.08,0.49,1.09,0.31,1.06,0.31,0.36,0.27,0.74,0.81,0.53,0.16,0.63,0.27,1.1,0.28,0.88,0,0.39,0.24,0.63,0.13,0.33
"0610007P14Rik",113.3,127.2,109.26,123.54,129.38,125.66,111.07,116.69,96.61,98.56,92.1,86.64,119.95,107.22,108.95,133.47,126.77,137.49,126.86,129.64,115.14,172.04,170.02,184.34
"0610009B22Rik",240.69,278.66,240.11,153.53,191.42,174.65,204.12,178.31,187.82,208.66,159.17,159.17,256.65,275.52,282.26,181.91,205.26,193.63,373.19,340.62,379.38,191.86,204.98,203.24
"0610009L18Rik",15.28,27.62,15.02,13.07,15.87,13.05,24.69,30.28,27.67,6.05,4.97,6.06,22.37,22.66,23.67,6.43,7.11,7.17,28.29,30.08,31.98,6.83,6.5,8.17
"0610009O20Rik",58.24,54.38,47.58,65.73,68.49,53.12,62.4,70.92,63.18,83.69,82.59,78.89,46.33,39.76,38.66,89.98,81.62,88.12,27.93,33.85,21.32,93.87,90.2,91.3
"0610010B08Rik",0.87,0.84,1.93,1.15,2.85,3.78,1.04,0.72,1.24,0.98,0.44,1.13,0.69,1.67,1.86,0.56,2.1,0.58,2.51,1.2,1.52,0.86,1.2,2.09
"0610010F05Rik",19.58,15.15,13.22,26.91,23.98,24.53,16.58,15.26,15.82,20.67,21.08,20.83,10.34,12.55,11.72,20.92,20.68,20.05,14.74,15.16,14.91,21.63,17.83,16.65
"0610010K14Rik",79.52,95.84,87.97,99.03,102.97,96.77,98.79,100.15,108.41,83.36,87.27,83.15,90.89,93.09,106.32,84.78,77.45,76.38,89.07,86.93,83.08,109.29,106.66,112.1
"0610011F06Rik",94.13,152.57,85.01,86.1,84.81,82.7,142.73,135.53,141.14,183.74,161.69,154.51,147.5,148.01,157.94,253.09,267.69,265.89,210.64,195.7,187.93,240.33,251.87,266.39
"0610012G03Rik",73.8,124.2,70.32,84.67,92.31,86.47,120.47,122.6,114.74,86.95,76.91,83.18,121.91,125.15,122.15,86.1,84.43,84.32,134.29,119.96,112.86,91.42,91,90.89
"0610030E20Rik",11.07,7.55,9.24,10.25,9.95,12.45,8.94,10.16,9.02,9.93,10.57,10.48,9.52,10.64,9.84,10.67,10.9,10.97,12.37,12.3,12.41,10.55,10.24,10.72
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.11,0,0,0
"0610037L13Rik",49.14,70.89,53.36,63.34,62,67.48,64.46,58.89,70.11,57.73,49.48,55.45,74.37,80.69,70.17,57.43,61.1,60.56,81.93,85.02,83.46,60.55,60.75,67.8
"0610038B21Rik",3.39,5.25,4.82,3.69,3.9,4.75,6.46,7.07,9.74,3.37,3.88,2.62,3.78,3.43,3.61,3.81,3.52,3.75,2.83,3.09,2.93,2.7,2.09,4.11
"0610039H22Rik",0.53,0.13,0,0.35,0.41,0.44,0.37,0.29,1.28,0.13,0.24,0.12,0,0.23,0.21,0.47,0.33,0.3,0.73,1.24,0.63,0.13,0.65,0.18
"0610039K10Rik",2.47,3.77,2.14,3.41,3.18,3.14,3.81,3.57,4.74,1.51,1.68,2.39,1.16,3.67,2.84,1.61,1.41,2.36,2.66,2.7,0.88,0.79,2.06,1.96
"0610040B10Rik",6.01,6.83,4.2,6.84,6.53,3.34,5.64,7.55,6.95,5.34,3.18,3.32,10.25,11,9.98,5.37,4.42,5.09,8.8,7.8,9.56,4.55,2.65,4.5
"0610040F04Rik",0.16,0,0,0,0.15,0,0.12,0,0,0.05,0,0.11,0,0,0,0,0,0.09,0,0,0,0,0,0.07
"0610040J01Rik",17.37,0.76,2.63,3.34,2.98,3.06,0.91,1.15,0.31,0.14,0.43,0.04,0.69,0.55,0.54,0.17,0.28,0.18,0.09,0.83,0.46,0.09,0.12,0.19
"0610043K17Rik",0,0.16,0,0,0.1,0,0.6,0,0.34,0,0.14,0.44,0,0.28,0,0.19,0.13,0,1.18,1.25,0.15,0.15,0.2,0.22
"1010001N08Rik",30.3,23.52,20.07,24.51,20.29,35.8,28.83,33.08,31.72,4.98,3.82,2.89,44.68,40.4,46.25,3.57,2.92,2.25,42.71,37.85,36.26,3.14,1.83,1.82
