"","x"
"1","Sox9"
"2","Hoxa10"
"3","Ppard"
"4","Peg3"
"5","Nr2c2"
"6","Twist2"
"7","Dmrtc2"
"8","Etv5"
"9","Gata2"
"10","Nfe2l2"
"11","Wt1"
"12","Ahr"
"13","Esr1"
"14","Hsf2"
"15","Arid5b"
"16","Patz1"
"17","Ncoa1"
"18","Pitx1"
"19","Smad5"
"20","Gata4"
"21","Zfpm2"
"22","Ppara"
"23","Vdr"
"24","Hes1"
"25","Smad4"
"26","Dmrt1"
"27","Nr0b1"
"28","Sp4"
"29","Cbx2"
"30","Mybl1"
"31","Nr5a1"
"32","Zbtb46"
"33","Xpa"
"34","Klf3"
"35","Prdm5"
"36","Figla"
"37","Nr2f2"
"38","Pin1"
"39","Arx"
"40","Mycn"
"41","Rara"
"42","Pbx3"
"43","Baz2a"
"44","Emx2"
"45","Hmga1"
"46","Tet1"
"47","Osr1"
"48","Foxl2"
"49","Terb1"
"50","Adnp2"
"51","Cebpb"
"52","Gtf2i"
"53","Crem"
"54","Cenpb"
