"","x"
"1","Sox9"
"2","Hoxa10"
"3","Peg3"
"4","Ncoa2"
"5","Twist2"
"6","Etv5"
"7","Gata2"
"8","Wt1"
"9","Pcgf2"
"10","Lhx9"
"11","Esr1"
"12","Arid5b"
"13","Patz1"
"14","Smad5"
"15","Zfpm2"
"16","Ppara"
"17","Vdr"
"18","Hes1"
"19","Snai2"
"20","Nr0b1"
"21","Bnc1"
"22","Mybl1"
"23","Nr5a1"
"24","Atf2"
"25","Sohlh2"
"26","Klf3"
"27","Clock"
"28","Prdm5"
"29","Nr2f2"
"30","Smad1"
"31","Cebpa"
"32","Arx"
"33","Rara"
"34","Egr1"
"35","Pbx3"
"36","Six5"
"37","Meis3"
"38","Emx2"
"39","Tcf21"
"40","Hmga1"
"41","Tet1"
"42","Osr1"
"43","Foxo3"
"44","Pbx1"
"45","Adnp2"
"46","Gtf2i"
"47","Jazf1"
