"","sample","stages","sex","conditions","replicate","transgene"
"1","E11.5_XX_enh8.mcherry_rep1","E11.5","XX","XX E11.5","rep1","enh8.mcherry"
"2","E11.5_XX_enh8.mcherry_rep3","E11.5","XX","XX E11.5","rep3","enh8.mcherry"
"3","E11.5_XY_SOX9.IRES.GFP_rep1","E11.5","XY","XY E11.5","rep1","SOX9.IRES.GFP"
"4","E11.5_XY_SOX9.IRES.GFP_rep2","E11.5","XY","XY E11.5","rep2","SOX9.IRES.GFP"
"5","E11.5_XY_SOX9.IRES.GFP_rep3","E11.5","XY","XY E11.5","rep3","SOX9.IRES.GFP"
"6","E12.5_XX_enh8.mcherry_rep1","E12.5","XX","XX E12.5","rep1","enh8.mcherry"
"7","E12.5_XX_enh8.mcherry_rep2","E12.5","XX","XX E12.5","rep2","enh8.mcherry"
"8","E12.5_XX_enh8.mcherry_rep3","E12.5","XX","XX E12.5","rep3","enh8.mcherry"
"9","E12.5_XY_SOX9.IRES.GFP_rep1","E12.5","XY","XY E12.5","rep1","SOX9.IRES.GFP"
"10","E12.5_XY_SOX9.IRES.GFP_rep2","E12.5","XY","XY E12.5","rep2","SOX9.IRES.GFP"
"11","E12.5_XY_SOX9.IRES.GFP_rep3","E12.5","XY","XY E12.5","rep3","SOX9.IRES.GFP"
"12","E13.5_XX_enh8.mcherry_rep1","E13.5","XX","XX E13.5","rep1","enh8.mcherry"
"13","E13.5_XX_enh8.mcherry_rep2","E13.5","XX","XX E13.5","rep2","enh8.mcherry"
"14","E13.5_XX_enh8.mcherry_rep3","E13.5","XX","XX E13.5","rep3","enh8.mcherry"
"15","E13.5_XY_SOX9.IRES.GFP_rep1","E13.5","XY","XY E13.5","rep1","SOX9.IRES.GFP"
"16","E13.5_XY_SOX9.IRES.GFP_rep2","E13.5","XY","XY E13.5","rep2","SOX9.IRES.GFP"
"17","E13.5_XY_SOX9.IRES.GFP_rep3","E13.5","XY","XY E13.5","rep3","SOX9.IRES.GFP"
"18","E15.5_XX_enh8.mcherry_rep1","E15.5","XX","XX E15.5","rep1","enh8.mcherry"
"19","E15.5_XX_enh8.mcherry_rep2","E15.5","XX","XX E15.5","rep2","enh8.mcherry"
"20","E15.5_XX_enh8.mcherry_rep3","E15.5","XX","XX E15.5","rep3","enh8.mcherry"
"21","E15.5_XY_SOX9.IRES.GFP_rep1","E15.5","XY","XY E15.5","rep1","SOX9.IRES.GFP"
"22","E15.5_XY_SOX9.IRES.GFP_rep2","E15.5","XY","XY E15.5","rep2","SOX9.IRES.GFP"
"23","E15.5_XY_SOX9.IRES.GFP_rep3","E15.5","XY","XY E15.5","rep3","SOX9.IRES.GFP"
