"","x"
"1","Adnp2"
"2","Aebp1"
"3","Aebp2"
"4","Ahctf1"
"5","Ahdc1"
"6","Ahr"
"7","Aire"
"8","Akap8"
"9","Akap8l"
"10","Akna"
"11","Alx1"
"12","Ankzf1"
"13","Arhgap35"
"14","Arid2"
"15","Arid3a"
"16","Arid3b"
"17","Arid5a"
"18","Arid5b"
"19","Arnt"
"20","Arnt2"
"21","Arntl"
"22","Arntl2"
"23","Arx"
"24","Ash1l"
"25","Atf1"
"26","Atf2"
"27","Atf3"
"28","Atf4"
"29","Atf5"
"30","Atf6"
"31","Atf6b"
"32","Atf7"
"33","Atmin"
"34","Atoh8"
"35","Bach1"
"36","Bach2"
"37","Barx1"
"38","Batf3"
"39","Baz2a"
"40","Baz2b"
"41","Bbx"
"42","Bcl11a"
"43","Bhlhe40"
"44","Bhlhe41"
"45","Bmyc"
"46","Bnc1"
"47","Bnc2"
"48","Bptf"
"49","Brf2"
"50","Camta1"
"51","Camta2"
"52","Carf"
"53","Cbx2"
"54","Cc2d1a"
"55","Ccdc17"
"56","Cdc5l"
"57","Cebpa"
"58","Cebpb"
"59","Cebpd"
"60","Cebpe"
"61","Cebpg"
"62","Cebpz"
"63","Cenpa"
"64","Cenpb"
"65","Cenpt"
"66","Cggbp1"
"67","Champ1"
"68","Chchd3"
"69","Cic"
"70","Clock"
"71","Creb1"
"72","Creb3"
"73","Creb3l1"
"74","Creb3l2"
"75","Creb3l4"
"76","Creb5"
"77","Crebzf"
"78","Crem"
"79","Csrnp1"
"80","Csrnp2"
"81","Ctcf"
"82","Cux1"
"83","Cxxc1"
"84","Cxxc5"
"85","Dach2"
"86","Dbp"
"87","Ddit3"
"88","Deaf1"
"89","Dmrt1"
"90","Dmrt2"
"91","Dmrt3"
"92","Dmrta1"
"93","Dmtf1"
"94","Dnmt1"
"95","Dnttip1"
"96","Dot1l"
"97","Dpf1"
"98","Dpf3"
"99","Dr1"
"100","Drap1"
"101","Dzip1"
"102","E2f1"
"103","E2f2"
"104","E2f3"
"105","E2f4"
"106","E2f5"
"107","E2f6"
"108","E2f7"
"109","E2f8"
"110","E430018J23Rik"
"111","E4f1"
"112","Ebf4"
"113","Eea1"
"114","Egr1"
"115","Egr2"
"116","Egr4"
"117","Elf1"
"118","Elf2"
"119","Elf3"
"120","Elf4"
"121","Elk1"
"122","Elk3"
"123","Elk4"
"124","Emx2"
"125","Epas1"
"126","Erf"
"127","Esr1"
"128","Esrra"
"129","Ets1"
"130","Ets2"
"131","Etv1"
"132","Etv3"
"133","Etv4"
"134","Etv5"
"135","Etv6"
"136","Fbxl19"
"137","Fiz1"
"138","Fli1"
"139","Flywch1"
"140","Fos"
"141","Fosb"
"142","Fosl2"
"143","Foxa3"
"144","Foxc1"
