,Cluster,cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,Up in XX,Up in XX,GO:0042692,muscle cell differentiation,136/3538,468/28891,9.40798502307461e-23,4.33188232374683e-19,2.08755034426882e-19,AW551984/Acta1/Actc1/Actn3/Adm/Agtr2/Akt1/Alpk3/Ank2/Ankrd23/Arrb2/Asb2/Asf1a/Atg5/Atp11a/Barx2/Bcl2/Bhlhe41/Bin3/Bmp2/Bmp4/Cacnb4/Capn2/Capn3/Cav2/Ccnd2/Cd53/Cfh/Csf1r/Csrp2/Cth/Cxcl12/Dkk1/Dmpk/Dock2/Dpf3/Ednra/Ehd2/Eng/Ereg/Fgf10/Fgfr2/Fhod3/Flnc/Flt3l/Foxp1/Gata6/Glmn/Gper1/Gsk3b/Hacd1/Hand2/Hdac9/Hes1/Hey1/Hopx/Id2/Ift20/Igf1/Igf2/Igfbp5/Irx3/Isl1/Itga8/Kcnj8/Kdm1a/Kel/Kit/Krt19/Lama2/Lmna/Lox/Lrrc27/Meis1/Msx1/Myh10/Myh11/Myh7/Myl9/Myocd/Nox4/Npnt/Nr3c1/Nrap/Nrg1/Ntn3/Olfm2/Pak1/Parp2/Pdcd4/Pdgfra/Pdgfrb/Pgm5/Pias1/Pin1/Pld3/Plekho1/Pmp22/Ppara/Ppp3ca/Prdm6/Ptgfrn/Ramp2/Rarb/Rbm24/Rgs2/Rgs4/Shh/Ski/Slc25a4/Smad1/Smarcd3/Smyd1/Smyd3/Sod2/Sorbs2/Speg/Syne1/Tbx2/Tbx3/Tcf23/Tmem119/Tmem204/Tmod4/Tmsb4x/Tnnt1/Tnnt2/Tnnt3/Tshz3/Uchl1/Vegfa/Wdr1/Wnt4/Yy1/Zeb1/Znhit1,136
2,Up in XX,Up in XX,GO:0030099,myeloid cell differentiation,138/3538,480/28891,1.3639427971495e-22,4.33188232374683e-19,2.08755034426882e-19,Adam8/Adgrf5/Alas1/Ankrd54/Arid4a/Batf/Batf3/Bcl6/Bmp2/Bmp4/Bmyc/C1qc/Casp3/Cbfa2t3/Ccl3/Ccr1/Ccr7/Cdkn1c/Cebpe/Cib1/Cldn18/Clec5a/Csf1r/Csf3r/Dmtn/Ets1/Fam20c/Fas/Fbxw7/Fcer1g/Fech/Fgfr3/Fos/Foxp1/Fstl3/Gata1/Gata3/Gfi1b/Glo1/Gpc3/Gpr55/Gsk3b/Hba-a1/Hba-a2/Hba-x/Hcls1/Heph/Hhex/Hoxa5/Hoxa7/Hoxa9/Hoxb7/Hoxb8/Hscb/Id2/Ikzf1/Il23a/Il33/Il34/Inpp4b/Irf8/Isg15/Jak2/Jun/Kcnq1/Kdm1a/Kit/Kitl/Lbr/Lef1/Leo1/Lilrb4a/Lox/Lrrc17/Lrrk1/Lyar/Maf/Meis1/Meis2/Mfap2/Mfhas1/Myd88/Nckap1l/Nfix/Nkap/Nme1/Nr3c1/Nrros/P4htm/Pik3r1/Pip4k2a/Pir/Pithd1/Ppargc1b/Ppp3ca/Prdm16/Prdx3/Prmt1/Prtn3/Psen2/Ptpn2/Rabgap1l/Rarg/Rassf2/Rbp1/Rhag/Rhd/Rps14/Runx1/Sfrp1/Sfxn1/Slc1a5/Slc25a38/Slc4a1/Smad5/Spi1/Stat1/Tcirg1/Tescl/Tet2/Tfrc/Tgfbr3/Thpo/Tifab/Tirap/Tlr2/Tlr4/Tmem178/Tnfrsf11a/Tnfsf9/Tob2/Trem2/Twist2/Tyrobp/Vegfa/Wdr1/Zbtb16/Zfp36l1,138
4,Up in XX,Up in XX,GO:0003012,muscle system process,129/3538,446/28891,1.87892603133861e-21,2.98373453776571e-18,1.43787286819281e-18,Ace2/Acta2/Actc1/Actn3/Adcy10/Adk/Adra2b/Agtr2/Aif1/Akap9/Ank2/Anxa6/Apbb1/Arhgap42/Asb2/Bmp2/Bmp4/Cacna1d/Cacna1g/Cacnb1/Calcrl/Cald1/Calm1/Calm2/Camk2g/Cav1/Chga/Chrna3/Cyba/Dmpk/Dock4/Dsc2/Ece1/Edn2/Edn3/Ednra/Ehd3/Errfi1/Fkbp1b/Foxp1/Fxyd1/Gata6/Glra1/Glrx3/Gper1/Gsk3b/Gsn/Hand2/Hsbp1/Igf1/Igfbp5/Inpp5f/Jarid2/Kcna5/Kcnd2/Kcne4/Kcnip2/Kcnj8/Kcnn2/Kcnq1/Kit/Lck/Lmcd1/Lmna/Map2k3/Meis1/Mybpc1/Myh11/Myh13/Myh7/Myh8/Myl1/Myl4/Myl6/Myoc/Myocd/Ncf1/Ndufs4/Nos3/Npnt/Nr3c1/Pak1/Parp2/Pde4b/Pde4d/Pde9a/Pin1/Ppara/Ppp3ca/Psen2/Ptger3/Ptger4/Ptgs1/Ptgs2/Rangrf/Rcsd1/Rem1/Rgs2/Rgs4/Rock2/Ryr2/Scn2b/Slc25a4/Smad1/Smad5/Sorbs2/Sri/Stac/Stc1/Sulf1/Sulf2/Sumo1/Tbx2/Tbx20/Tbx3/Tifab/Tmem38a/Tmod4/Tnfrsf1b/Tnnt1/Tnnt2/Tnnt3/Tpm2/Tpm3/Trim63/Trpv4/Tshz3/Vegfb/Yy1,129
5,Up in XX,Up in XX,GO:0010959,regulation of metal ion transport,131/3538,461/28891,5.05318746832004e-21,6.41956935975378e-18,3.09361455955256e-18,Adora2a/Agtr1a/Ahnak/Akap7/Akap9/Akt1/Ank2/Aqp2/Arrb2/Atg5/Bcl2/Bmp4/Cacna1d/Cacna1g/Cacnb1/Cacnb3/Cacnb4/Calm1/Calm2/Capn3/Cask/Cav1/Ccr1/Cd63/Cd84/Cdk5/Cntn1/Coro1a/Cxcl1/Cxcl12/Cyba/Dmpk/Dpp10/Dpp6/Drd4/Edn3/Ednra/Ehd3/Fgf11/Fgf14/Fkbp1b/Fxyd1/Fxyd2/Gck/Gem/Gjc2/Gnai2/Gper1/Grip1/Gsto1/Hes1/Homer3/Hsd3b6/Igf1/Il16/Inpp5k/Iscu/Isl1/Jph2/Kcna5/Kcnab1/Kcnab2/Kcnab3/Kcne4/Kcng1/Kcnip1/Kcnip2/Kcnip3/Kcnip4/Kcnk3/Kcnn2/Kcnq1/Kcns1/Kel/Lgals3/Lhcgr/Mllt6/Mrln/Myo5a/Nkain1/Nkain3/Nkain4/Nos3/Oprd1/Oprk1/Oprl1/Osr1/P2ry12/Pacsin3/Pcsk9/Pde4b/Pde4d/Pdgfrb/Pik3cg/Plcb4/Plcg2/Ppp3ca/Psen2/Pten/Ptger3/Ptgs2/Rangrf/Rapgef3/Rem1/Rgs4/Rgs9/Rrad/Ryr2/S100a1/Scn2b/Sestd1/Smim6/Snca/Sri/Stac/Stc1/Stom/Stoml1/Sumo1/Tescl/Tgfb2/Thy1/Tmc1/Tmem38a/Trem2/Trpc6/Trpv2/Tspan13/Tspan18/Tspo/Vmp1,131
8,Up in XX,Up in XX,GO:0060562,epithelial tube morphogenesis,116/3538,395/28891,5.3473364091684e-20,4.24578510887971e-17,2.04605977340286e-17,Adm/Agtr1a/Agtr2/Aldh1a2/Angpt1/Asb2/Bbs4/Bcl2/Bmp2/Bmp4/Bmp5/Bmp7/Btrc/Casp3/Cc2d2a/Ccdc103/Ccdc40/Cd44/Clic4/Cluap1/Cthrc1/Ctns/Cxcl12/Dchs1/Dlc1/Dlg5/Dvl1/Ednra/Eng/Epha4/Epha7/Esr1/Ext1/Fat4/Fgf10/Fgfr2/Fkbpl/Foxd1/Foxp1/Fuz/Fzd2/Gata3/Gli2/Gli3/Glmn/Gpc3/Hand1/Hand2/Hes1/Hey1/Hhex/Hhip/Hoxa5/Hoxb7/Hs2st1/Hs3st3a1/Hs3st3b1/Ift122/Igf1/Irx3/Kdr/Kif26b/Kif3a/Lef1/Lgr4/Lgr5/Luzp1/Mdk/Mgp/Msx2/Mtss1/Ncoa3/Npnt/Nr3c1/Nrp1/Osr1/Pak1/Pax8/Pbx1/Pdgfra/Pfn1/Pgf/Pik3cd/Plxnd1/Ppp1ca/Prkaca/Pspn/Rala/Rarg/Rdh10/Ret/Rock2/Rps7/Ryr2/Sall4/Sema3e/Sfrp1/Sfrp2/Shh/Ski/Slc12a2/Slit2/Stox1/Tbx2/Tbx20/Tbx3/Tcf21/Tfap2c/Tgfb2/Tmem59l/Tnc/Vegfa/Wnt2/Wnt2b/Wnt4/Wnt5a,116
11,Up in XX,Up in XX,GO:0050900,leukocyte migration,112/3538,398/28891,7.97708661659488e-18,4.60640492623734e-15,2.21984381636918e-15,Abr/Adam8/Add2/Adtrp/Aif1/Aire/Akt1/Anxa1/Asb2/C3ar1/C5ar1/Ccl12/Ccl2/Ccl3/Ccl4/Ccl6/Ccl7/Ccr1/Ccr7/Cd200/Cd300a/Ch25h/Chga/Chst2/Cklf/Cmklr1/Cnn2/Coro1a/Csf1r/Csf3r/Cx3cr1/Cxcl1/Cxcl12/Cxcl13/Cxcl14/Cxcl16/Cxcl2/Dapk2/Dbh/Dock8/Dpep1/Dusp1/Edn2/Edn3/Ednra/Emilin1/Emp2/Epx/Ext1/Fcer1g/Fcgr3/Fer/Foxj1/Gata3/Gpsm3/Hoxa7/Hsd3b7/Il16/Il1r1/Il23a/Il27ra/Il33/Il34/Itga1/Kit/Kitl/Lgals3/Lgals9/Lyst/Lyve1/Mcu/Mdk/Mmp28/Myd88/Myo1f/Nckap1l/P2ry12/Pde4b/Pde4d/Pdgfd/Pgf/Pik3r1/Pla2g7/Podxl/Podxl2/Prtn3/Ptger3/Ptger4/Ptn/Ptprj/Ptpro/Pycard/Rac3/Rarres2/Rpl13a/Slc12a2/Slit2/Spi1/Thy1/Tirap/Tlr2/Tmem102/Tnfrsf18/Trem2/Trpv4/Vav1/Vav3/Vcam1/Vegfa/Vegfb/Wdr1/Wnt5a,112
14,Up in XX,Up in XX,GO:0006935,chemotaxis,123/3538,462/28891,2.37279706435155e-17,1.06726469391943e-14,5.14318860187874e-15,Ackr4/Adam8/Agtr1a/Aif1/Amot/Angpt1/Angpt2/Anxa1/Arrb2/Bin2/C3ar1/C5ar1/Ccl12/Ccl2/Ccl27a/Ccl3/Ccl4/Ccl6/Ccl7/Ccr1/Ccr7/Ccrl2/Ch25h/Chga/Cklf/Cmklr1/Cmtm2a/Coro1a/Csf1r/Csf3r/Cx3cr1/Cxcl1/Cxcl12/Cxcl13/Cxcl14/Cxcl16/Cxcl2/Cysltr1/Dapk2/Defb7/Dock2/Dock4/Dpep1/Dusp1/Dusp3/Edn2/Edn3/Ednra/Egr3/Eng/Enpp2/Fcer1g/Fcgr3/Fer/Fgf10/Fgfr1/Fn1/Gpsm3/Gstp1/Hbegf/Hgf/Hsd3b7/Il16/Il23a/Il34/Itga1/Kdr/Kit/Lef1/Lgals3/Lgals9/Lgr4/Lox/Lsp1/Lyst/Mcu/Mdk/Mmp28/Nckap1l/Nrg1/Nrp1/P2ry12/Parva/Pde4b/Pde4d/Pdgfd/Pdgfra/Pdgfrb/Pgf/Pik3cd/Pik3cg/Pla2g7/Plxna4/Prkcd/Prkcq/Ptn/Ptpn2/Ptprj/Ptpro/Rab13/Rac3/Rarres2/Robo2/Rpl13a/Sema3a/Sema3e/Sema3f/Shh/Slc12a2/Slit2/Snai2/Spi1/Tirap/Tmem102/Trem2/Trpv4/Unc5c/Vav1/Vav3/Vcam1/Vegfa/Vegfb/Wnt5a,123
15,Up in XX,Up in XX,GO:0001503,ossification,127/3538,484/28891,2.52030390566617e-17,1.06726469391943e-14,5.14318860187874e-15,Actn3/Adcy10/Akt1/Asf1a/Atraid/Axin2/Bcl2/Bmp1/Bmp2/Bmp4/Bmp5/Bmp7/Bmpr1b/Cbs/Ccr1/Chrdl2/Chsy1/Clec11a/Clec5a/Col13a1/Col1a1/Col1a2/Creb3l1/Csf1r/Csgalnact1/Cthrc1/Dchs1/Ddr2/Dhrs3/Dhx36/Dkk1/Erh/Ext1/Fam20c/Fat4/Fermt2/Fgfr1/Fgfr2/Fgfr3/Fstl3/Gata1/Gdf10/Gdpd2/Gfra4/Gli2/Gli3/Gpc3/Gsk3b/Hand2/Hdac7/Hdac8/Hey1/Hoxa2/Hspg2/Ibsp/Id2/Ifitm1/Ifitm5/Ift80/Igf1/Igf2/Igfbp5/Igsf10/Il6st/Isg15/Lgr4/Lmna/Lox/Lrp3/Lrrc17/Ltbp3/Mdk/Mgp/Mmp16/Mn1/Msx2/Mtss1/Myoc/Nfix/Npnt/Npr2/Osr1/Osr2/Pam16/Pbx1/Pdlim7/Pkdcc/Ppargc1b/Ppp3ca/Prkaca/Ptger4/Ptgs2/Pth1r/Ptn/Rassf2/Runx1/Scube2/Sfrp1/Sfrp2/Sgms2/Sh3pxd2b/Shh/Sik3/Sirt7/Ski/Smad1/Smad5/Smurf1/Snai2/Sox11/Stc1/Tcf7l2/Tcirg1/Tgfbr3/Thbs3/Tmem119/Tnfrsf11a/Tob1/Tob2/Twist2/Vegfa/Wnt11/Wnt4/Wnt5a/Wwox/Zbtb16/Zfp932,127
17,Up in XX,Up in XX,GO:0014706,striated muscle tissue development,91/3538,301/28891,7.26309903018142e-17,2.71383559057132e-14,1.30780755292679e-14,AW551984/Actc1/Agtr2/Aldh1a2/Alpk3/Angpt1/Arrb2/Asb2/Atg5/Bmp2/Bmp4/Bmp5/Bmp7/Boc/Ccnd2/Dkk1/Ednra/Egln1/Eng/Fgf20/Fgfr1/Fgfr2/Fhod3/Foxp1/Gata6/Gjc1/Gsk3b/Hand1/Hand2/Hdac7/Hdac9/Heg1/Hey1/Hspg2/Id2/Ift20/Igf1/Irx3/Isl1/Jarid2/Jph2/Kcnj8/Lef1/Lmna/Lox/Lrrc27/Meis1/Myh10/Myh11/Myh7/Myl7/Myocd/Ncam1/Ndufv2/Nox4/Nr3c1/Nrap/Nrg1/Pak1/Parp2/Pdgfra/Pdgfrb/Pgm5/Pim1/Pin1/Ppara/Prmt1/Pten/Rarb/Rgs2/Rgs4/Ryr2/Sav1/Shh/Sirt2/Slc25a4/Smad1/Sorbs2/Speg/Tbx2/Tbx20/Tbx3/Tgfb2/Tgfbr3/Tnnt2/Trex1/Vegfa/Vgll4/Wnt2/Wnt5a/Yy1,91
21,Up in XX,Up in XX,GO:0034765,regulation of monoatomic ion transmembrane transport,126/3538,490/28891,1.85959345414396e-16,5.62482743843926e-14,2.71062544594017e-14,Agtr1a/Ahnak/Akap7/Akap9/Akt1/Ank2/Arc/Asic2/Atg5/Bcl2/Bmp4/Cacna1d/Cacnb1/Cacnb3/Cacnb4/Cacng3/Cacng4/Cacng8/Calm1/Calm2/Capn3/Cav1/Ccl2/Cd63/Cdk5/Cftr/Chrna4/Clic4/Coro1a/Ctss/Cyba/Cybb/Dpp10/Dpp6/Drd4/Edn3/Ednra/Ehd3/Ephb2/Fgf11/Fgf14/Fkbp1b/Fxyd1/Fxyd2/Gem/Gjc2/Gper1/Grip1/Grk6/Gsto1/Hvcn1/Ifngr2/Iscu/Jph2/Kcna5/Kcnab1/Kcnab2/Kcnab3/Kcnb2/Kcnd1/Kcnd2/Kcne4/Kcnf1/Kcng1/Kcng4/Kcnh3/Kcnip1/Kcnip2/Kcnip3/Kcnip4/Kcnj12/Kcnj14/Kcnj8/Kcnk3/Kcnn2/Kcnq1/Kcnq4/Kcns1/Kel/Lhcgr/Mrln/Myo5a/Ndufa4/Oprk1/Oprl1/Osr1/Park7/Pcsk9/Pde4b/Pde4d/Pik3cg/Plcg2/Ppp3ca/Psen2/Pten/Ptger3/Rangrf/Rapgef3/Rem1/Rgs4/Rgs9/Rrad/Ryr2/S100a1/Scn2b/Sestd1/Slc25a4/Smim6/Snca/Sri/Stac/Stom/Stoml1/Sumo1/Tcirg1/Tescl/Tgfb2/Thy1/Tmc1/Tmem37/Tmem38a/Trem2/Trpc6/Trpm5/Tspan13/Vmp1,126
