,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cst12,1026.49799250137,6.55906364393981,0.228136991849164,1709.76266861012,0,0
Cyp11a1,924.310355780475,-8.80047906725192,0.329809286406716,1962.8148439434,0,0
Gstm6,4597.02207140972,5.25240718440946,0.0992535334810233,3128.97987846425,0,0
Dync1i1,837.685738344035,6.3505129661006,0.238670149694149,1425.96540196204,6.83669285359781e-309,2.23012920884361e-305
Chchd10,3347.97237208121,3.59654349524318,0.105895101169278,1372.66798165487,2.51173545728923e-297,6.55462484934198e-294
Trpc7,529.89397325024,-3.05587447852973,0.130831930276988,1320.82566137509,4.45700475535043e-286,9.6924996746354e-283
Smpx,1716.64890223123,4.12058551579232,0.118349048052504,1301.3008519069,7.68373952066634e-282,1.43224904665221e-278
Akr1c14,895.891225377232,5.18741009961153,0.182365345430182,1179.97979038564,1.61766679442958e-255,2.63841454171464e-252
Pcdh20,232.800191902047,-6.62317829549325,0.317924385456863,1141.60566716785,3.42418456208378e-247,4.9643066851188e-244
Pde8b,710.125987163053,5.8451263148419,0.239021150334488,1130.69709347072,7.96604190003637e-245,1.03940914711675e-241
Dnajc15,4376.78175487748,3.37101265026091,0.0969674534287791,1125.4240190205,1.1098464607325e-243,1.31647969269433e-240
Igf2bp1,2862.94828074342,-3.74793217094973,0.122355623677696,1114.26625203701,2.92402761370384e-241,3.17939269196731e-238
Lancl3,684.081317587373,-1.41629595814731,0.118818246569243,1035.3020876917,3.95276133135249e-224,3.9673561424221e-221
Lbx2,1494.30119482216,5.08090585573116,0.171328833756033,1034.83435736396,4.99308553969608e-224,4.65355572299674e-221
Hsd3b1,2204.88984586155,4.81207990379196,0.155116965476783,1033.46877690155,9.87676793009917e-224,8.5914711967956e-221
Asns,6252.62231814561,-2.14887882035638,0.097203345591619,952.079825331927,4.46915012168352e-206,3.64459192423291e-203
Enpp2,6601.253033405,4.10231187528466,0.138835636134372,916.630823484616,2.18602951116718e-198,1.67784194480643e-195
Hmga2,2315.15485713733,-5.5296711504901,0.202038650948301,907.956575966389,1.66412045448221e-196,1.20630242722688e-193
M1ap,314.935632342517,5.48213349783595,0.310161792266761,886.171274048159,8.84180592551858e-192,6.07199387979823e-189
Tex101,125.396647664272,11.1686785975018,1.46189447680288,884.592178130072,1.94558802817278e-191,1.26930162957992e-188
Tgm3,423.545090986001,-6.36050621493351,0.280943929490002,831.300871084385,7.04125561814362e-180,4.37496682407324e-177
Sycp3,400.534179946872,6.7378971761286,0.390418417181947,824.04448985479,2.6390892031886e-178,1.56521981469113e-175
Smc1b,528.440600212741,6.23053864814605,0.327299454933929,822.580826024368,5.48150138220122e-178,3.10967956673746e-175
Gstm2,26646.7593685933,3.12577156226327,0.107056920629979,800.803727677183,2.89683932000678e-173,1.57491497697702e-170
Hemgn,269.100911285141,-4.40897013660606,0.311727085303481,799.630683925683,5.20391382070498e-173,2.71602670130234e-170
Pla2r1,851.338620161784,3.75175536888165,0.141511378029858,797.677232491875,1.38034257330821e-172,6.92719611404828e-170
Ly6e,1682.68573660688,3.25148068120402,0.115596026887937,786.068437428757,4.54599855112075e-170,2.19689589240828e-167
