,x
0610009B22Rik,f
0610012G03Rik,e
0610040J01Rik,a
1110032A03Rik,f
1110038F14Rik,e
1110059E24Rik,e
1110059G10Rik,e
1110065P20Rik,f
1190007I07Rik,e
1500009L16Rik,e
1500011B03Rik,f
1600012H06Rik,d
1600014C10Rik,e
1700001L19Rik,f
1700010I14Rik,e
1700013H16Rik,f
1700017B05Rik,b
1700028K03Rik,f
1700029J07Rik,f
1700037H04Rik,d
1700088E04Rik,e
1700123O20Rik,e
1810013L24Rik,f
1810037I17Rik,f
1810055G02Rik,e
1810065E05Rik,c
2200002D01Rik,d
2200002J24Rik,f
2210016F16Rik,e
2210016L21Rik,e
2310022A10Rik,b
2310022B05Rik,b
2310030G06Rik,f
2310033P09Rik,f
2310034G01Rik,f
2310039H08Rik,e
2310057M21Rik,e
2310061I04Rik,f
2510002D24Rik,e
2610318N02Rik,c
2610528A11Rik,a
2700062C07Rik,f
2900026A02Rik,a
3110009E18Rik,e
3110040N11Rik,f
4930447C04Rik,f
4930486L24Rik,a
4930523C07Rik,f
4930524B15Rik,f
4930550C14Rik,e
4930563E22Rik,e
4930572O03Rik,c
4931406C07Rik,d
4931414P19Rik,c
4931428F04Rik,b
4933407L21Rik,f
4933434E20Rik,f
5031410I06Rik,f
5031439G07Rik,c
5730409E04Rik,e
5730507C01Rik,c
6030468B19Rik,a
6030498E09Rik,b
6720489N17Rik,e
9030025P20Rik,e
9130023H24Rik,f
9430038I01Rik,e
9930021J03Rik,f
A130010J15Rik,a
A1bg,e
A2m,e
A430033K04Rik,d
A530016L24Rik,e
A630089N07Rik,f
A730046J19Rik,f
AA986860,a
AI467606,f
AI837181,e
AI987944,f
AU021092,a
AU040320,b
AW146154,f
AW551984,b
AW554918,c
Aaas,b
Aagab,b
Aak1,b
Aamdc,e
Aar2,e
Aard,f
Aars2,c
Aass,e
Aatf,d
Abat,c
Abca12,f
Abca6,b
Abca7,b
Abca8b,c
Abca9,a
Abcb10,a
Abcb1a,f
Abcb1b,a
Abcb6,c
Abcb7,b
Abcb8,c
Abcc1,c
Abcc10,b
Abcc3,f
Abcc9,a
Abcd1,c
Abcd2,b
Abcg1,f
Abcg2,a
Abcg3,a
Abcg4,b
Abcg5,c
Abhd10,f
Abhd13,b
Abhd14b,e
Abhd15,b
Abhd16a,b
Abhd2,b
Abhd3,f
Abhd6,f
Abhd8,d
Abi3,a
Abi3bp,f
Abl1,b
Ablim1,f
Ablim2,b
Abr,b
Abracl,a
Abt1,e
Abtb1,c
Acaa1a,d
Acaa1b,e
Acacb,d
Acad8,e
Acadm,f
Acap3,b
Acat1,e
Acat2,a
Acat3,b
Acbd3,f
Accs,d
Ace2,a
Acer2,a
Acer3,f
Ache,a
Ackr1,a
Ackr3,a
Acly,b
Acmsd,a
Acnat1,a
Acot1,c
Acot11,b
Acot13,f
Acot3,d
Acot6,d
Acot7,f
Acox3,b
Acp5,a
Acp6,e
Acsbg1,d
Acsf2,c
Acsf3,c
Acsl5,f
Acsm3,e
Acss1,b
Acss2,f
Acss3,a
Acta1,a
Acta2,a
Actc1,a
Actg2,a
Actn1,a
Actn3,d
Actn4,b
Actr1a,c
Actr1b,b
Actr3b,e
Actr6,b
Acvr1b,b
Acvr1c,f
Acy1,c
Acy3,e
Acyp1,f
Acyp2,e
Adad1,f
Adad2,c
Adam11,b
Adam12,a
Adam15,b
Adam19,a
Adam22,a
Adam23,a
Adam8,b
Adam9,b
Adamts1,c
Adamts10,c
Adamts15,a
Adamts16,e
Adamts17,e
Adamts18,a
Adamts19,e
Adamts3,a
Adamts4,b
Adamts5,a
Adamts7,c
Adamts8,b
