,Cluster,cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,a,a,GO:0030099,myeloid cell differentiation,109/1567,480/28891,2.6887004490866e-38,1.57772942352402e-34,8.03496902627039e-35,Abcb10/Actn1/Alas2/Ank1/Bmp4/Bpgm/C1qc/Car2/Cbfb/Ccl3/Ccl9/Ccr1/Cldn18/Clec5a/Creb1/Csf1/Csf1r/Csf3r/Dab2/Dlk1/Dll1/Dmtn/Enpp1/Epas1/Etv2/Evi2b/Exoc6/F2rl1/Fam20c/Fam210b/Fas/Fcer1g/Fech/Fli1/Gata1/Gata2/Gfi1b/Gnas/Gp1bb/Gpc3/Gpr183/Hba-a1/Hba-a2/Hba-x/Hcls1/Hhex/Hmga1/Hmgb2/Hoxa5/Hoxa7/Hoxa9/Hoxb7/Hoxb8/Ikzf1/Il15/Inpp4b/Inpp5d/Itgb3/Jag1/Klf1/Klf10/Klf13/Lbr/Lilrb4a/Lmo2/Lyn/Maf/Mef2c/Meis1/Meis2/Myc/Myh9/Nckap1l/Nrros/Pafah1b1/Pik3r1/Ppp3ca/Prdm16/Ptbp3/Rarg/Rb1/Rbfox2/Rbm15/Rhag/Rhd/Ror2/Sfrp1/Slc4a1/Sp1/Spi1/Tal1/Tgfb1/Tgfbr2/Tifab/Tlr4/Tmod3/Tnfaip6/Tnfrsf11a/Traf6/Trem2/Trf/Trib1/Trim10/Trim58/Tubb1/Twist2/Tyrobp/Wasf2/Zbtb16,109
2,a,a,GO:0060562,epithelial tube morphogenesis,88/1567,395/28891,1.95797141772648e-30,5.74468813960949e-27,2.92562150259235e-27,Agtr2/Ahr/Alx1/Angpt1/Asb2/Bcl10/Bmp4/Brd2/Cecr2/Clic4/Cobl/Csf1/Cxcl12/Dll1/Edn1/Efnb2/Esrp1/Etv4/Etv5/Eya1/Fgf10/Foxc2/Foxd1/Foxf1/Fzd2/Gatad2a/Gdf2/Gpc3/Grhl2/Grhl3/Hand1/Hand2/Hhex/Hmga2/Hnf1b/Hoxa5/Hoxb7/Ihh/Kif20b/Kif26b/Kras/Lama5/Lmo4/Mdk/Mef2c/Mtss1/Myc/Nkx3-1/Nog/Notch1/Nrarp/Nrp1/Nup50/Pgf/Pik3cd/Pitx2/Prickle1/Pthlh/Rarg/Rbm15/Ret/Robo1/Sall4/Sema3e/Sfrp1/Sfrp2/Sfrp5/Shh/Six4/Sox9/Spint1/Spry1/St14/Stil/Tbx1/Tbx20/Tbx3/Tek/Tfap2c/Tgfb1/Tgfb2/Tgfbr2/Tmem59l/Tnc/Traf6/Trim71/Wnt2/Zeb2,88
8,a,a,GO:0050678,regulation of epithelial cell proliferation,87/1567,426/28891,3.21293105455931e-27,2.35668492851926e-24,1.20019885051235e-24,Alox5/Apela/Birc5/Bmp4/Btk/C5ar1/Ccl2/Ccl24/Ccnd1/Cdh1/Cdh13/Cxadr/Cxcl12/Dab2/Dbh/Dlk1/Dusp10/Ecm1/Ednrb/Efnb2/Esrp1/Etv4/Eya1/F3/Fgf10/Foxp2/Fzd7/Gata2/Gdf2/Gli1/Gpc3/Gpx1/Hlx/Hmga2/Hmgb2/Hoxa5/Ihh/Irf6/Irs2/Isl1/Itga4/Itgb3/Jag1/Lama5/Lims2/Marveld3/Mcc/Mdk/Mef2c/Mtss1/Myc/Nkx3-1/Nog/Notch1/Nr2f2/Nr4a1/Nrarp/Nupr1/Pgf/Phox2b/Pik3cd/Prox1/Rb1/Robo1/Rreb1/Sfn/Sfrp1/Sfrp2/Sgpp2/Shh/Six4/Sox11/Sox9/Sp1/Sulf2/Tbx1/Tbx18/Tek/Tgfb1/Tgfb2/Tgfbr1/Tgm1/Tnfaip3/Tnmd/Twist2/Vash1/Wnt2,87
9,a,a,GO:0042330,taxis,90/1567,464/28891,2.07448779177564e-26,1.35256604023772e-23,6.88826998929947e-24,Ackr3/Aif1/Alox5/Angpt1/Angpt2/Bin2/C3ar1/C5ar1/Camk1d/Ccl12/Ccl2/Ccl24/Ccl3/Ccl6/Ccl7/Ccl9/Ccr1/Ccrl2/Cdh13/Chga/Cmklr1/Cmtm8/Coro1a/Creb1/Csf1/Csf1r/Csf3r/Cx3cr1/Cxadr/Cxcl12/Cxcl13/Cxcl16/Cysltr1/Edn1/Ednrb/Efnb2/F2rl1/Fcer1g/Fcgr3/Fgf10/Fn1/Gpr183/Hbegf/Hgf/Hmgb2/Hoxb9/Il16/Itga1/Itgb2/Itgb3/Lsp1/Lyn/Mcu/Mdk/Mtus1/Nckap1l/Notch1/Nr4a1/Nrg1/Nrp1/Nrp2/Ntf3/Ntrk3/P2ry12/Padi2/Pde4b/Pdgfrb/Pf4/Pgf/Pik3cd/Pik3cg/Ppbp/Rac2/Rho/Robo1/Sema3c/Sema3e/Shh/Slit3/Smoc2/Spi1/Stx3/Tgfb1/Tnfaip6/Trem2/Unc5c/Vav1/Vav3/Vcam1/Wnt7b,90
17,a,a,GO:0014706,striated muscle tissue development,68/1567,301/28891,3.73832924924359e-24,1.29038329615067e-21,6.5715893118282e-22,Actc1/Agtr2/Angpt1/Ankrd1/Asb2/Bdnf/Bmp4/Bves/Ccnb1/Cdk1/Cenpf/Col11a1/Creb1/Cxadr/Dkk1/Dll1/Dsg2/Edn1/Efnb2/Epor/Erbb3/Eya1/Fhl2/Foxc1/Foxc2/Fzd7/Gata5/Gata6/Gja5/Gjc1/Gli1/Hand1/Hand2/Hdac9/Hey2/Ifrd1/Isl1/Jph2/Kcnj8/Mef2c/Meis1/Myocd/Ncam1/Nog/Notch1/Nrg1/Pdgfrb/Pdlim5/Pgm5/Pitx2/Prickle1/Prox1/Rarb/Rbp4/Rgs4/Sema3c/Shh/Shox2/Sik1/Tbx1/Tbx18/Tbx20/Tbx3/Tgfb1/Tgfb2/Tgfbr1/Tgfbr2/Wnt2,68
18,a,a,GO:0007059,chromosome segregation,81/1567,416/28891,5.39231564865398e-24,1.69075663470545e-21,8.61058746085597e-22,Aspm/Aurka/Aurkb/Baz1b/Birc5/Brip1/Bub1/Bub1b/Ccnb1/Ccnb2/Ccne1/Ccne2/Cdca2/Cdca5/Cdca8/Cdk1/Cenpe/Cenpf/Cenph/Cenpu/Chfr/Cit/Dlgap5/Dsn1/Ect2/Fancd2/Fbxo5/Gem/Gen1/Gpsm2/Haus6/Hecw2/Kif11/Kif14/Kif18a/Kif18b/Kif22/Kif23/Kif2c/Kif4/Kifc5b/Knstrn/Kntc1/Lsm14a/Mad2l1/Mki67/Mybl2/Ncapd3/Ncapg/Ncaph/Ndc80/Nek2/Nek6/Nsl1/Nuf2/Nusap1/Oip5/Plk1/Prc1/Prickle1/Psrc1/Rad18/Rad21/Rb1/Sass6/Seh1l/Ska1/Ska3/Smarca5/Smc2/Smc4/Spag5/Spc24/Spc25/Spdl1/Stil/Tacc3/Top2a/Tpx2/Ttk/Tubb1,81
19,a,a,GO:0050900,leukocyte migration,79/1567,398/28891,5.47450171428145e-24,1.69075663470545e-21,8.61058746085597e-22,Add2/Aif1/Alox5/Asb2/C3ar1/C5ar1/Camk1d/Ccl12/Ccl2/Ccl24/Ccl3/Ccl6/Ccl7/Ccl9/Ccr1/Cd200r1/Cd24a/Cd300a/Cd34/Chga/Cmklr1/Cnn2/Coro1a/Csf1/Csf1r/Csf3r/Cx3cr1/Cxadr/Cxcl12/Cxcl13/Cxcl16/Dbh/Ecm1/Edn1/Ednrb/Enpp1/F2rl1/Fcer1g/Fcgr3/Gcnt1/Gpr183/Hoxa7/Icam1/Il16/Itga1/Itga4/Itgb2/Itgb3/Lyn/Lyve1/Mcoln2/Mcu/Mdk/Mtus1/Myo1f/Myo1g/Nckap1l/P2ry12/Padi2/Pafah1b1/Pawr/Pde4b/Pf4/Pgf/Pik3r1/Plvap/Ppbp/Rac2/Ror2/Selplg/Sirpa/Smpd3/Spi1/Tgfb1/Tnfaip6/Trem2/Vav1/Vav3/Vcam1,79
21,a,a,GO:0050767,regulation of neurogenesis,89/1567,494/28891,8.92018653865529e-24,2.49255498137282e-21,1.2693939640723e-21,Ache/Ascl1/Aspm/Bcl11a/Bdnf/Bex1/Bmp4/Braf/Brinp1/Cd24a/Cdh1/Cit/Csf1r/Cux2/Cx3cr1/Cxcl12/Cysltr1/Dll1/Dlx2/Dpysl5/Dusp10/Efna5/Etv5/Fas/Fn1/Fstl4/Fzd4/Gata2/Hap1/Hapln1/Hey2/Heyl/Hmga2/Hmgb2/Hoxb3/Ifrd1/Kras/L1cam/Ldlr/Lin28a/Lpar3/Lrp4/Lyn/Map1b/Marcks/Mbp/Mdk/Myc/Ncan/Nefl/Nog/Notch1/Nrg1/Nrp1/Ntf3/Ntrk2/Ntrk3/Pafah1b1/Pias2/Plxnb1/Ppp3ca/Prox1/Prtg/Ptprz1/Rb1/Robo1/Sema3c/Sema3e/Serpine2/Sgk1/Sh3glb1/Shh/Shox2/Skil/Snap91/Sox11/Spint1/Star/Syt4/Tgfb1/Tlx2/Tnfrsf1b/Trem2/Trf/Trpv2/Vcan/Wnt2/Wnt7b/Zeb2,89
22,a,a,GO:0000070,mitotic sister chromatid segregation,51/1567,177/28891,1.55424178526234e-23,4.14558672541792e-21,2.1112403963444e-21,Aurkb/Baz1b/Birc5/Bub1/Bub1b/Ccnb1/Cdca5/Cdca8/Cdk1/Cenpe/Cit/Dsn1/Fbxo5/Gen1/Kif11/Kif14/Kif18a/Kif18b/Kif22/Kif23/Kif2c/Kifc5b/Knstrn/Kntc1/Lsm14a/Mad2l1/Mybl2/Ncapd3/Ncapg/Ncaph/Ndc80/Nek2/Nsl1/Nuf2/Nusap1/Plk1/Prc1/Prickle1/Psrc1/Rad21/Rb1/Seh1l/Smarca5/Smc2/Smc4/Spag5/Spc24/Spc25/Spdl1/Tpx2/Ttk,51
23,a,a,GO:0048872,homeostasis of number of cells,78/1567,401/28891,4.02927111097177e-23,1.02798969039923e-20,5.23528635425577e-21,Abcb10/Ahr/Alas2/Ank1/Bcl10/Bmp4/Bpgm/Btk/Ccl2/Ccnb2/Cd24a/Coro1a/Crispld1/Csf1/Csf1r/Cx3cr1/Dmtn/Dock10/Enpp1/Epas1/Etv2/Exoc6/F2r/Fam210b/Fas/Fcer1g/Fech/Foxa3/Gata1/Gata2/Gfi1b/Gpr183/Hba-a1/Hba-a2/Hba-x/Hcls1/Hmga1/Hmgb2/Hoxa5/Hoxb6/Ikbkg/Ikzf1/Inpp5d/Klf1/Klf13/Kras/Lilrb4a/Lmo2/Lyn/Mecom/Mef2c/Nckap1l/Notch1/Pde4b/Pik3cb/Pik3cd/Pmaip1/Ptbp3/Rb1/Rbfox2/Rhag/Rhd/Sash3/Skil/Slc4a1/Sod1/Sox9/Sp1/Spi1/Spta1/Tal1/Tgfb1/Tgfb2/Tmod3/Tnfaip3/Trim10/Trim58/Wdr37,78
29,a,a,GO:0042692,muscle cell differentiation,84/1567,468/28891,2.1508766017933e-22,4.35218755149072e-20,2.21645686841785e-20,Acta1/Actc1/Actn1/Adamts15/Adamts5/Agtr2/Ank2/Asb2/B4galnt2/Barx2/Bdnf/Bmp4/Bves/Casp1/Cd53/Csf1r/Csrp1/Csrp2/Cxadr/Cxcl12/Cyp26b1/Dkk1/Dll1/Dner/Edn1/Ednrb/Efnb2/Eif5a/Fgf10/Fhl2/Foxf1/Fzd7/Gata6/Gpx1/Hand2/Hdac9/Hey2/Ifrd1/Igfbp5/Isl1/Itga8/Kcnj8/Kel/Klf5/Kras/Lmod1/Mef2c/Megf10/Meis1/Myc/Myh9/Myocd/Notch1/Nrg1/Ntf3/Olfm2/Pdgfrb/Pdlim5/Pgm5/Pitx2/Plekho1/Ppp3ca/Prdm6/Prickle1/Prox1/Rarb/Rb1/Rgs4/Shh/Shox2/Sik1/Six4/Sort1/Sox9/Tbx1/Tbx18/Tbx3/Tgfb1/Tmem119/Tmod1/Tmod3/Tshz3/Wnt7b/Xk,84
35,a,a,GO:0045787,positive regulation of cell cycle,71/1567,365/28891,3.69679117255747e-21,6.08634788774882e-19,3.09962000023659e-19,Aif1/Anp32b/Ascl1/Aurka/Aurkb/Bard1/Birc5/Bub1/Ccnb1/Ccnd1/Cdc25c/Cdca5/Cdca8/Cdk1/Cenpe/Cep295/Cit/Csf1r/Dbf4/Ddr2/Dmrt1/Dtl/E2f7/Ect2/Edn1/Fbxo5/Fen1/Fgf10/Gen1/Gli1/Gpsm2/Kcna5/Kif14/Kif20b/Kif23/Mad2l1/Meis2/Myc/Ncapd3/Ncapg/Ncaph/Ndc80/Nkx3-1/Nupr1/Nusap1/Pafah1b1/Pdgfrb/Plk4/Poc1a/Prox1/Psrc1/Rad18/Rad21/Rad51ap1/Rb1/Rrm2/Sass6/Smc2/Smc4/Smoc2/Smpd3/Spag5/Stil/Tal1/Tbx1/Tbx20/Tbx3/Tgfb1/Tgfb2/Tgm1/Tmod3,71
41,a,a,GO:0061448,connective tissue development,64/1567,316/28891,3.77129367403724e-20,5.39754909250013e-18,2.74883253930468e-18,Barx2/Bmp4/C3ar1/Chrdl2/Col11a1/Col11a2/Col1a1/Col2a1/Col3a1/Col9a1/Creb5/Csf1/Dlx2/Ecm1/Edn1/Enpp1/Foxc2/Foxd1/Frzb/Gdf2/Gdf6/Gnas/Hand1/Hand2/Hmga2/Hoxa3/Hoxa5/Hoxb3/Ihh/Il6ra/Itgb3/Loxl2/Maf/Mdk/Mef2c/Mkx/Nog/Notch1/Pdgfrb/Pgrmc2/Pitx1/Poc1a/Prrx1/Pth1r/Pthlh/Rarb/Rarg/Rb1/Ror2/Sfrp2/Shox2/Smad9/Smpd3/Sox9/Spi1/Sulf2/Tbl1xr1/Tgfb1/Tgfb2/Tgfbr1/Tgfbr2/Thbs3/Wnt7b/Zbtb16,64
48,a,a,GO:0060560,developmental growth involved in morphogenesis,60/1567,292/28891,2.69026254934778e-19,3.28884596657766e-17,1.67492442491192e-17,Ahr/Aurka/Bcl11a/Bdnf/Bmp4/Cdh1/Cobl/Csf1/Csf1r/Cxcl12/Dclk1/Edn1/Efna5/Fgf10/Flrt3/Fn1/Fstl4/Hnf1b/Ifrd1/Impact/Itga4/Kif26b/L1cam/Lpar3/Map1b/Nlgn3/Notch1/Nrp1/Nrp2/Ntrk3/Pafah1b1/Postn/Prickle1/Prkg1/Pthlh/Rarg/Robo1/Sema3c/Sema3e/Sfrp1/Sfrp2/Sfrp5/Sh3glb1/Shh/Six4/Slc9a6/Slit3/Sox9/Spry1/St8sia2/Syt1/Syt4/Tfap2c/Tgfb1/Tgfbr2/Tmem108/Tnc/Trpv2/Wnt7b/Zeb2,60
49,a,a,GO:0031589,cell-substrate adhesion,68/1567,368/28891,4.6049984691408e-19,5.51472061569759e-17,2.80850497398297e-17,Acer2/Actn1/Angpt1/Angpt2/Atxn3/Braf/Bves/Cd34/Cdh11/Cdh13/Col1a1/Col3a1/Col5a3/Col8a1/Coro1a/Csf1/Dab2/Dapk3/Dmtn/Edil3/Efna5/Epha3/Ephb3/Fermt3/Fn1/Foxf1/Fzd4/Fzd7/Hoxa7/Itga1/Itga4/Itga8/Itgb2/Itgb3/Jag1/Kif14/L1cam/Lama5/Lamb3/Lamc2/Lims2/Lpxn/Marcks/Mdk/Myh9/Myo1g/Notch1/Npy/Nrp1/Parvg/Pik3cb/Pik3r1/Postn/Ptprz1/Rac2/Rhpn1/Rreb1/Sema3e/Sfrp1/Sirpa/Smoc2/Sorbs1/Spock1/Spry4/Tek/Vcam1/Vtn/Vwa2,68
51,a,a,GO:0033002,muscle cell proliferation,58/1567,280/28891,7.128918108828e-19,8.20244930639268e-17,4.1772958742957e-17,Ace2/Aif1/Angpt1/Bmp4/C3ar1/Ccnb1/Cdh13/Cdk1/Cnn1/Cxadr/Dbh/Ddr2/Dsn1/Edn1/Enpp1/Foxc1/Foxc2/Gata6/Gli1/Hbegf/Hey2/Hgf/Igfbp5/Il15/Il6ra/Itgb3/Mef2c/Megf10/Myc/Myocd/Nampt/Ncam1/Ndc80/Nog/Notch1/Notch3/Nrg1/P2ry6/Pdgfrb/Pik3r1/Prkg1/Rbp4/Rgs5/Serpinf2/Shh/Smpd3/Spon2/Tbx1/Tbx20/Tgfb1/Tgfb2/Tgfbr1/Tgfbr2/Tlr4/Tnfaip3/Traf6/Trib1/Wnt2,58
52,a,a,GO:0003018,vascular process in circulatory system,54/1567,247/28891,9.03461286359481e-19,1.01952131314566e-16,5.19215909306592e-17,Abcb1b/Abcg2/Abcg3/Acta2/Adora2a/Adra1d/Adra2b/Adrb2/Agtr2/Ahr/Akap12/Alox5/Angpt1/Atp1a2/Avpr1a/C2cd4b/Cd38/Cftr/Chga/Cysltr1/Dbh/Edn1/Ednrb/F2r/F2rl1/Foxc1/Foxc2/Gch1/Gclm/Gja5/Gpx1/Icam1/Itga1/Kcna5/Kcnj8/Kng2/Npy1r/Ocln/P2ry1/Pde2a/Pde3a/Plekha7/Plvap/Prkg1/Ptgs1/Rbfox2/Serpinf2/Smpd3/Sod1/Tbxas1/Tgfb1/Tjp3/Zdhhc21/Zeb2,54
56,a,a,GO:0051656,establishment of organelle localization,79/1567,491/28891,3.42677806159126e-18,3.59077386882456e-16,1.82868851820632e-16,Agtpbp1/Aurkb/Birc5/Btk/Ccnb1/Cd300a/Cd84/Cdca5/Cdca8/Cenpa/Cenpe/Cenpf/Chga/Clmn/Cnih2/Cplx2/Dnm3/Dsn1/Ect2/Exoc6/Eya1/Fcer1g/Fgf10/Foxf1/Gata1/Gata2/Gem/Gpsm2/Hap1/Hhex/Ikbkg/Insc/Itga4/Kif14/Kif18a/Kif1b/Kif22/Kif2c/Kifc5b/Knstrn/Lin7a/Lyn/Mad2l1/Map1b/Milr1/Mreg/Myh9/Myo1f/Myo1g/Myo5c/Ndc80/Nefl/Nek2/Nsl1/Nuf2/Nusap1/Pafah1b1/Plk1/Ppfia2/Psrc1/Rac2/Rb1/Sapcd2/Seh1l/Slc18a2/Smpd3/Snap91/Snca/Spag5/Spc24/Spc25/Spdl1/Spry1/Syt11/Syt4/Tacc1/Tacc3/Trim58/Xpo1,79
66,a,a,GO:0001503,ossification,77/1567,484/28891,1.77676907185756e-17,1.57970922934245e-15,8.04505166667244e-16,Adrb2/Ahr/Alox5/Bmp4/Cbfb/Ccr1/Chrd/Chrdl1/Chrdl2/Clec5a/Col1a1/Col1a2/Col2a1/Csf1/Csf1r/Ddr2/Dhh/Dkk1/Dlk1/Ecm1/Enpp1/Fam20c/Fbxo5/Fhl2/Fignl1/Foxc1/Foxc2/Fzd9/Gata1/Gdf10/Gdf2/Gli1/Gnas/Gpc3/Hand2/Hemgn/Hoxa2/Ibsp/Ifi204/Igfbp5/Ihh/Jag1/Klf10/Lrp4/Mdk/Mef2c/Mkx/Mmp16/Mn1/Mtss1/Nfe2/Nog/Notch1/Plxnb1/Ppp3ca/Prickle1/Pth1r/Pthlh/Sfrp1/Sfrp2/Shh/Shox2/Smpd3/Sort1/Sox11/Sox9/Sp1/Tgfb1/Thbs3/Tmem119/Tnfaip6/Tnfrsf11a/Traf6/Trp53inp2/Twist2/Wnt7b/Zbtb16,77
