,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4930486L24Rik,1949.69518176695,5.86220179256595,0.139726088893663,2208.12752514168,0,0
Adcyap1r1,1154.00998700263,4.06134975449808,0.115065918040483,1990.27037437017,0,0
Bcan,1064.72416993991,12.2456663533694,0.836390000907952,5616.98731453984,0,0
Calb1,276.252139848176,-9.75754368868513,0.845470220333977,2369.51030224014,0,0
Car3,387.08918787358,-7.4947518266443,0.365391041686524,2019.13596087983,0,0
Ccl17,574.255024642064,8.1354796257453,0.279679803085996,3110.31452883931,0,0
Ccnd1,2669.37026155808,-4.34118307666587,0.0980925951988457,2206.58598403498,0,0
Chst4,348.589771341655,-8.49087820724356,0.524382442930839,1845.28010950648,0,0
Col14a1,6627.31913832183,3.03972463444907,0.0956616287180872,1747.12161609348,0,0
Colec12,2012.23245828906,-4.5542328869078,0.113653974792086,2696.84083772039,0,0
Cpxm1,3039.91592537623,-2.99329814287391,0.0801680353325939,1501.67937110364,0,0
Defb19,10994.8026429874,7.15869932161347,0.10318428974911,3914.89331116643,0,0
Defb36,370.817898341431,6.06066458100223,0.209171484571758,1640.88309719069,0,0
Fshr,330.434296530766,9.54964097375688,0.600341837144617,1861.70266241462,0,0
Gjb2,2905.57773357056,3.88013527113512,0.135229522994151,2179.10791843126,0,0
Grem2,2878.28284062044,3.85154893836495,0.10291233016867,1528.1585628935,0,0
Hey1,484.026451607054,-4.37254091442056,0.146398117976627,1863.86872999441,0,0
Hsd17b1,2097.04654057464,10.1701903613199,0.314729815280943,6178.60665023133,0,0
Hsd17b3,6237.93162977182,6.56889261600072,0.0839608289360771,6956.05797818587,0,0
Ifitm1,5806.77602479049,-7.94571441366229,0.17212045001626,2605.41915348782,0,0
Igf2bp1,3315.05754108603,-4.51769893725111,0.0957500495541397,2447.87122116205,0,0
Inha,13882.7899588877,3.63279674506449,0.0777028187251348,1829.82105342924,0,0
Kazald1,13672.792734452,7.9587104729305,0.116259488734748,3586.84542700177,0,0
Lhfpl2,1347.86029145559,-5.96907623592639,0.195039947204986,1572.73915231372,0,0
Ltbp1,1147.18634474251,-4.63528301823189,0.127676278820081,2492.79439295445,0,0
Matn2,1610.984782939,-3.6995257089728,0.103011089828799,1560.18060742503,0,0
Mest,13535.8926065476,-5.6900194588532,0.108357142196985,3848.65931609058,0,0
Mybpc3,3330.79347566489,9.63689385654039,0.258225618952546,3198.1896477995,0,0
Myl9,2862.11397715095,-3.89539442706458,0.113006764034728,2506.02368118382,0,0
Nup62cl,1726.11342745381,-6.4663388594516,0.176163764793651,2030.97242408407,0,0
Peg3,33316.6380162738,-5.31734839478636,0.0944182064486348,3663.33391897397,0,0
Pknox2,738.737135346514,-2.59834593337909,0.102540707592354,1537.85736737357,0,0
Rnase1,993.769334733204,-7.10531455567407,0.213692697904536,3066.3360658452,0,0
Serpina5,2839.09728945677,11.4721918828872,0.414048433157291,2465.37210025376,0,0
Sfn,1155.84827648223,6.8793453441705,0.170079571691463,2344.08354397374,0,0
Slc13a2,628.987615684674,8.20089423761127,0.351641348211928,2162.71017267499,0,0
Slc38a5,2146.04094181745,5.32731613964869,0.105777214697791,2549.44547585737,0,0
Smpx,1347.58850303996,3.98707225642027,0.10057600925168,1980.1218776774,0,0
Sparcl1,1515.45051648135,-5.53452614808899,0.126868794628454,2919.20977145658,0,0
Spata21,2080.00920758992,7.5537254955111,0.148764750153304,5249.67412455688,0,0
Sulf1,2326.5149222701,-4.68329238084062,0.136651132722437,2218.85433929892,0,0
Tgm3,366.566999893701,-9.37818014246768,0.667386467050688,1719.37536087113,0,0
Tnni3,1786.9401412908,5.24554039176158,0.107361690761093,2881.19121417723,0,0
Vav3,706.405256785779,-7.68761639653493,0.294404722697773,2513.1326313643,0,0
Vnn1,5076.03946691524,4.19219708217024,0.0728317509958419,3455.60294284183,0,0
Folr1,1899.58333080179,3.77241764797818,0.100945052362034,1494.5084330052,9.88131291682493e-324,2.80135221191987e-321
Pdgfra,1629.53279177068,-4.85506284090001,0.182699436192682,1490.02309254312,8.39911597930119e-323,2.331001717079e-320
Dclk1,1769.98941892716,-6.16755680813611,0.222190430288111,1478.68411088341,2.48317393599811e-320,6.74854146967475e-318
Dhrs3,1094.16214227387,-4.52387823500205,0.152741990648315,1478.41838256121,2.83593680712876e-320,7.54996041313738e-318
Emilin1,1130.52210820984,-3.8818353898612,0.153690130642079,1473.05697427099,4.13127811739534e-319,1.07785045094713e-316
Col2a1,4152.15673327593,-1.92366024001685,0.165545780177434,1460.07786682755,2.70735281374561e-316,6.92498381464103e-314
Igf2,796.941420506571,-5.31364420923251,0.18821515084504,1458.77175064488,5.19960446488758e-316,1.3044007739338e-313
Nefm,342.616544458789,-8.46910823801371,0.524534538762525,1458.21091603211,6.88130189877532e-316,1.69370911829477e-313
Lima1,2732.36431133315,-3.51980780281543,0.107577329319092,1448.60295890547,8.36716777272573e-314,2.02129080731841e-311
Padi2,3341.60399541226,3.99020931612376,0.118601931061732,1428.3683897968,2.05782766065885e-309,4.88079306059904e-307
Arhgef4,1353.91765253371,4.30796427231673,0.11525248826287,1427.16268029909,3.75874075328089e-309,8.75585234402664e-307
Emb,438.131087783953,-1.43190065807413,0.122468555972651,1422.81429536126,3.30080951354267e-308,7.55422107090598e-306
Rab7b,429.06562563488,4.80063974839388,0.162455171021146,1421.01491023841,8.11105918366796e-308,1.82428908708532e-305
Myzap,940.696565391886,4.44647008539324,0.125561407283357,1393.32726460687,8.26240993104523e-302,1.82683283983873e-299
Gdf15,282.661393231413,5.59508446508305,0.200633905700168,1381.25390300448,3.44283975526387e-299,7.48530743456953e-297
Itga8,1046.76660045387,-5.77474705369344,0.196590309913417,1379.11382565955,1.00298048722637e-298,2.1448984353882e-296
Slc38a4,2132.33833331899,-4.60729607293708,0.131285676132346,1363.81445340003,2.09454681460359e-295,4.40699406395223e-293
Abcb1a,194.857977192782,-8.22664359716198,0.616450720308217,1358.32645237213,3.25027473285224e-294,6.73013236350119e-292
Fgf13,1774.00931171284,2.70145861034321,0.0977386757957412,1357.0151166256,6.25840382894841e-294,1.27563871794738e-291
Sgpp2,724.671305940954,3.85926767530186,0.11920317212471,1349.20546987103,3.09781430361436e-292,6.21707501394605e-290
Ces1d,184.082236815702,-8.25161677090556,0.661509325655966,1339.2727200871,4.42917090185917e-290,8.75432339617468e-288
Slc41a3,483.518194230042,3.6060127725958,0.11784647796087,1319.18738637935,1.01046411808096e-285,1.96738871945762e-283
Cald1,1765.40699789106,-2.67568334303231,0.124820904313193,1303.50004480003,2.56088496950849e-282,4.91275653341738e-280
Lama3,928.975770448863,4.17096407364582,0.121054823653653,1303.40057308571,2.69137078267741e-282,5.08825099420679e-280
Ckb,1115.65447119371,-3.02106898546521,0.123568953902484,1292.64831240423,5.79430400921063e-280,1.07980994000218e-277
Col3a1,3449.06526781261,-3.79255625710728,0.178455738407574,1281.67141244847,1.39558356030824e-277,2.56413909073536e-275
Creb3,4337.00495559006,1.96199885987853,0.0604713573921772,1275.90916218932,2.48333692618906e-276,4.49932363918559e-274
