,x
0610040J01Rik,b
1110032F04Rik,d
1190005I06Rik,c
1500009L16Rik,f
1500011B03Rik,e
1600014C10Rik,d
1700001L19Rik,b
1700001O22Rik,a
1700011M02Rik,d
1700017B05Rik,d
1700019D03Rik,a
1700025G04Rik,a
1700029J07Rik,b
1700030J22Rik,d
1700030K09Rik,d
1700037H04Rik,e
1700088E04Rik,b
1810030O07Rik,a
1810037I17Rik,d
1810055G02Rik,e
1810058I24Rik,b
1810062G17Rik,d
1810065E05Rik,b
2010003K11Rik,d
2200002J24Rik,e
2310022B05Rik,a
2310030G06Rik,e
2310034G01Rik,b
2310057M21Rik,e
2410004B18Rik,f
2510002D24Rik,d
2510009E07Rik,a
2610008E11Rik,a
2610318N02Rik,a
2610528J11Rik,a
2810408A11Rik,c
2900026A02Rik,f
4921507P07Rik,d
4930447C04Rik,f
4930486L24Rik,f
4930503L19Rik,a
4930523C07Rik,a
4930572O03Rik,b
4930579G24Rik,f
4930595M18Rik,c
5031410I06Rik,b
5031439G07Rik,b
5730507C01Rik,a
6030498E09Rik,b
6330403K07Rik,a
6430548M08Rik,e
6820408C15Rik,f
9030624G23Rik,a
9130008F23Rik,a
9130023H24Rik,b
9330159F19Rik,c
9530077C05Rik,e
9930012K11Rik,a
9930104L06Rik,a
A2m,f
A4galt,b
A530016L24Rik,d
A930009A15Rik,b
AA467197,f
AU015836,d
AU021092,d
AW551984,b
AY074887,b
Aagab,c
Aar2,e
Aard,d
Abat,c
Abca12,d
Abca2,d
Abca4,b
Abca5,a
Abca8b,b
Abca9,a
Abcb10,e
Abcb1a,b
Abcb1b,b
Abcb7,b
Abcc1,d
Abcc3,a
Abcc5,a
Abcc9,a
Abcd1,c
Abcd2,a
Abcd4,b
Abce1,c
Abcg1,d
Abcg2,a
Abcg4,e
Abcg5,a
Abhd10,e
Abhd11,b
Abhd12,b
Abhd14b,b
Abhd15,c
Abhd17a,d
Abhd2,f
Abhd3,d
Abhd6,e
Abhd8,f
Abi2,a
Abi3,f
Abi3bp,a
Ablim3,b
Abracl,a
Abt1,e
Acaa2,b
Acacb,d
Acad10,c
Acad9,d
Acads,d
Acadsb,b
Acadvl,b
Acap1,c
Acap2,a
Acap3,a
Acat1,e
Acat2,a
Acat3,a
Acbd4,d
Acbd6,d
Ace2,a
Acer2,b
Acin1,d
Ackr3,a
Ackr4,b
Aco1,c
Acot1,b
Acot3,c
Acot4,c
Acot6,c
Acot7,c
Acox1,a
Acox3,a
Acoxl,d
Acrbp,a
Acsbg1,e
Acsf3,d
Acsl3,b
Acsl4,e
Acsl5,f
Acsl6,a
Acsm3,b
Acss1,d
Acss3,a
Acta2,a
Actc1,a
Actg2,a
Actn1,a
Actn3,a
Actr2,b
Actr3,c
Actr3b,e
Actr6,b
Actr8,d
Acvr1b,e
Acvrl1,e
Ada,d
Adad2,f
Adam10,c
Adam11,c
Adam12,a
Adam19,a
Adam22,a
Adam23,a
Adam8,b
Adamts12,a
Adamts15,a
Adamts18,a
Adamts19,c
Adamts2,e
Adamts3,a
Adamts4,a
Adamts5,a
Adamts7,f
Adamts8,d
Adamtsl1,a
Adamtsl3,c
Adamtsl4,a
Adarb1,a
Adat3,d
Adcy1,c
Adcy10,b
Adcy2,a
Adcy4,a
Adcy7,f
Adcy9,d
Adcyap1r1,f
Add1,c
Add2,a
Adgra2,e
Adgra3,a
Adgrb2,a
Adgrf5,b
Adgrg1,d
Adgrg2,a
Adgrl1,d
Adgrl2,d
Adgrl3,b
Adh1,a
Adh4,e
Adh5,e
Adhfe1,c
Adi1,d
Adipor1,d
Adm,b
Adnp2,e
Adora1,e
Adora2a,a
Adora2b,a
Adra1d,a
Adrb2,d
Adssl1,a
Adtrp,a
Afap1l1,a
Afap1l2,c
Aff1,e
Aff2,d
Aff3,b
Afmid,a
Aga,d
Agap3,e
Agbl2,d
Agbl3,a
Ager,a
Agfg2,e
Agl,c
Agmat,d
Ago1,a
Ago2,a
Ago4,b
Agpat1,d
Agpat2,b
Agpat3,b
Agpat5,a
Agps,a
Agrn,d
Agt,d
Agtpbp1,a
Agtr1a,a
Agtr2,a
Agtrap,e
Ahdc1,d
Ahi1,f
Ahnak,a
Ahsa2,a
Ahsg,d
Aif1l,a
Aig1,b
Aim2,a
Aire,c
Ajuba,e
Ak2,e
Ak4,c
Ak6,e
Ak7,d
Ak8,a
Akap12,d
Akap17b,b
Akip1,e
Akr1b10,e
Akr1b3,d
Akr1b7,e
Akr1b8,c
Akr1c12,a
Akr1c13,a
Akr1c14,e
Akr1c19,a
Akr7a5,d
Akt1,b
Akt1s1,d
Akt3,a
Alad,f
Alas1,c
Alas2,e
Alcam,a
Aldh16a1,d
Aldh1a1,e
Aldh1a2,e
Aldh1a7,d
Aldh1b1,d
Aldh1l1,d
Aldh3b2,a
Aldh5a1,a
Aldh7a1,c
Aldh9a1,c
Aldoc,b
Alg10b,a
Alg13,d
Alg14,c
Alg8,f
Alg9,a
Alox5ap,a
Alpk1,a
Alpl,f
Alppl2,e
Alx1,a
Ambra1,d
Amer1,a
Amer2,a
Amh,d
Amhr2,d
Amigo2,a
Ammecr1,c
Amn1,d
Amot,b
Amotl1,b
Amotl2,f
Ampd3,a
Amph,a
Anapc15,e
Anapc4,a
Angel1,a
Angpt1,a
Angpt2,a
Angpt4,a
Angptl1,d
Angptl2,e
Angptl4,b
Ank1,e
Ank2,a
Ankfy1,b
Ankle1,f
Ankrd1,f
Ankrd13a,d
Ankrd13b,a
Ankrd23,a
Ankrd29,a
Ankrd33b,a
Ankrd34a,a
Ankrd34b,b
Ankrd35,a
Ankrd40,d
Ankrd44,a
Ankrd45,b
Ankrd50,d
Ankrd55,a
Ankrd6,b
Ankrd63,d
Ankrd9,f
Anln,f
Ano1,a
Ano4,e
Ano9,a
Anpep,b
Antxr1,f
Antxr2,b
Anxa1,f
Anxa3,e
Anxa4,c
Anxa5,e
Anxa9,b
Aoc3,c
Aox4,a
Ap1ar,a
Ap1g1,a
Ap1m2,d
Ap4e1,e
Ap5b1,d
Ap5z1,d
Apba2,d
Apbb1,a
Apcdd1,b
Apela,b
Aph1a,d
Aph1b,c
Aph1c,c
Aplp1,a
Apoa4,d
Apobec2,d
Apoc1,d
Apoc2,f
Apoc3,d
Apoc4,a
Apoe,b
Apol6,d
Apom,b
App,e
Appl2,e
Aprt,a
Aqp1,b
Aqp12,d
Aqp3,b
Arap3,b
Arc,a
Arf3,d
Arg2,a
Arglu1,e
Arhgap11a,f
Arhgap20,a
Arhgap24,a
Arhgap26,d
Arhgap27,f
Arhgap28,a
Arhgap29,b
Arhgap31,e
Arhgap33,f
Arhgap36,b
Arhgap39,a
Arhgap4,d
Arhgap42,b
Arhgap6,a
Arhgap8,a
Arhgap9,e
Arhgdib,a
Arhgdig,e
Arhgef10,d
Arhgef12,b
Arhgef16,c
Arhgef17,e
Arhgef18,e
Arhgef19,a
Arhgef25,c
Arhgef26,a
Arhgef28,d
Arhgef3,e
Arhgef39,f
Arhgef4,e
Arhgef40,e
Arhgef5,b
Arhgef6,f
Arhgef9,b
Arid2,a
Arid3a,b
Arid3b,c
Arid5a,d
Arid5b,e
Arl14ep,a
Arl2bp,a
Arl3,f
Arl4c,a
Arl5a,a
Arl5b,b
Arl5c,a
Arl6ip6,d
Arl8a,e
Armc2,e
Armc5,d
Armcx1,a
Armt1,b
Arntl,f
Arpc1b,d
Arpc5,b
Arrb2,a
Arrdc1,e
Arrdc3,a
Arsg,b
Arsk,e
Art3,d
Art4,c
Arx,a
Arxes1,c
Asah2,d
Asap1,b
Asap2,a
Asap3,b
Asb13,a
Asb2,c
Asb4,a
Asb6,e
Ascl1,a
Asf1a,a
Asf1b,f
Asgr1,b
Ash2l,a
Asic1,a
Asic2,a
Asic4,f
Asph,c
Asphd2,a
Aspm,f
Ass1,d
Aste1,e
Asxl1,d
Asxl3,a
Asz1,f
Atad2,f
Atad5,f
Atf2,c
Atf3,f
Atf5,c
Atf6,d
Atg10,e
Atg16l2,f
Atg2a,d
Atg4a,a
Atg4d,d
Atg9b,b
Atic,e
Atl2,e
Atm,e
Atp10a,a
Atp11a,a
Atp11c,a
Atp1b2,d
Atp2a1,c
Atp2a2,d
Atp2b3,c
Atp2b4,f
Atp4a,e
Atp5c1,d
Atp5g2,e
Atp5g3,c
Atp6v0a1,d
Atp6v0c,d
Atp6v0e,d
Atp6v0e2,f
Atp6v1d,b
Atp6v1h,d
Atp7a,c
Atp8a2,d
Atp8b1,a
Atp8b2,d
Atp8b4,d
Atp8b5,e
Atrn,a
Atrnl1,a
Atxn2,c
Atxn2l,d
Atxn3,a
Atxn7l1,a
Auh,d
Aurka,f
Aurkb,f
Avpr1a,a
Axl,d
B230217C12Rik,a
B230219D22Rik,a
B2m,f
B3galnt1,d
B3galnt2,c
B3galt1,a
B3galt4,d
B3galt6,d
B3glct,a
B3gnt5,a
B3gnt7,a
B3gnt9,a
B4galnt3,c
B4galnt4,a
B4galt2,a
B4galt5,a
B4galt6,a
B630019K06Rik,d
B9d1,a
BC028528,a
