,Cluster,cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,a,a,GO:0007389,pattern specification process,116/1889,498/28891,4.29181793909332e-34,2.56092776425698e-30,1.42985302918214e-30,Alx1/Arc/Ascl1/Bicc1/Bmi1/Bmp1/Bmp4/Bmp5/Bmpr1b/Ccdc40/Cdon/Chrd/Chrdl1/Chsy1/Ctnnbip1/Dchs1/Dkk1/Dlx2/Ednra/Emx1/Eng/Fgf10/Fgfr1/Fgfr2/Foxc1/Foxc2/Foxd1/Foxj1/Fst/Gas1/Gata5/Gdf11/Gli1/Gli2/Gli3/Gpc3/Grsf1/Hand2/Hes1/Hey2/Hhip/Hipk1/Hnf1b/Hoxa1/Hoxa10/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxc10/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Hoxd10/Hoxd3/Hoxd4/Hoxd8/Hoxd9/Ift74/Irx2/Isl1/Kif3a/Lef1/Meis1/Meis2/Meis3/Meox1/Mllt3/Msx1/Nkx3-2/Nr2f1/Nr2f2/Nrp1/Ofd1/Osr1/Pax8/Pbx1/Pcdh8/Pds5a/Peg12/Pitx2/Pkd2/Rarg/Robo2/Sfrp1/Sfrp2/Shroom3/Smarcd3/Snai1/Sostdc1/Spry1/Tbx18/Tbx2/Tbx20/Tbx3/Tgfbr1/Tgfbr2/Traf3ip1/Tshz1/Wnt11/Wnt2b/Wnt5a/Zbtb16/Zeb2,116
2,a,a,GO:0034329,cell junction assembly,112/1889,481/28891,6.20378871247202e-33,1.85090036236603e-29,1.03342059341968e-29,Abi2/Abi3bp/Ace2/Actn1/Actn3/Add2/Adgrb2/Amigo2/Arhgap6/Asic2/Bcl2/Bdnf/Cdh1/Cdh10/Cdh11/Cdh13/Cdh2/Cdh24/Cdh26/Cdh6/Cdh8/Cdh9/Cldn1/Cldn10/Cldn15/Cldn2/Cldn7/Cldn8/Cldn9/Clstn1/Clstn2/Cntnap2/Crk/Cux2/Dkk1/Dlc1/Dlg4/Dmtn/Dnm3/Dock7/Efna5/Efnb2/Efnb3/Elavl2/Epha3/Epha7/Ephb2/Fbxo45/Fermt2/Flrt2/Flrt3/Fn1/Fzd1/Gabrb2/Gap43/Gjc1/Gpm6a/Hdac7/Hipk1/Il1rap/Il1rapl2/Itgb4/Kcnj8/Kdr/Kirrel3/Lamc1/Lrfn5/Lrrn3/Lrrtm4/Map4k4/Mmp14/Mpdz/Myoc/Negr1/Nlgn2/Nlgn3/Nrg1/Nrp1/Nrxn1/Nrxn2/Nrxn3/Ntrk2/Ntrk3/Ogt/Ophn1/Pard3/Pcdhb16/Pik3r1/Pmp22/Ppp1r9a/Ptprj/Ptprk/Ramp2/Rap1a/Sh3bp1/Six4/Slc25a46/Slit2/Slitrk6/Snai1/Snai2/Snca/Srpx2/St8sia2/Syndig1/Tek/Thbs2/Thy1/Tpbg/Wnt11/Wnt4/Wnt5a,112
6,a,a,GO:0048562,embryonic organ morphogenesis,88/1889,335/28891,3.39692760901549e-30,3.37824450716591e-27,1.88618875132176e-27,Alx1/Bmi1/Bmp4/Ccdc40/Chst11/Cthrc1/Dlx2/Ednra/Efna1/Eng/Ephb2/Eya4/Fgf10/Fgfr1/Fgfr2/Foxc2/Frzb/Fzd2/Gas1/Gata3/Gli1/Gli2/Gli3/Gnas/Hand2/Hes1/Hipk1/Hlx/Hnf1b/Hoxa1/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa7/Hoxa9/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxc4/Hoxc9/Hoxd10/Hoxd3/Hoxd4/Hoxd9/Hpn/Hyal1/Itga8/Kif3a/Mapk1/Mfap2/Mfap5/Mmp14/Mmp16/Msx1/Nkx3-2/Osr1/Osr2/Pax8/Pitx2/Pkd2/Prox1/Prrx1/Rarb/Rarg/Six4/Slitrk6/Sox11/Tbx18/Tbx2/Tbx20/Tbx3/Tcf21/Tgfb2/Tgfbr1/Tgfbr2/Th/Triobp/Tshz1/Twist1/Twist2/Ush1c/Wnt11/Wnt5a,88
9,a,a,GO:0001763,morphogenesis of a branching structure,72/1889,249/28891,9.83814275163827e-28,6.52268864433617e-25,3.64183880806259e-25,Agtr1a/Agtr2/Angpt1/Bcl11a/Bcl2/Bmp4/Cdh1/Clic4/Col13a1/Csf1/Ctnnbip1/Cxcl12/Dchs1/Dlx2/Ednra/Eng/Epha7/Esr1/Fat4/Fem1b/Fgf10/Fgf7/Fgfr1/Fgfr2/Foxc2/Foxd1/Gli2/Gli3/Gpc3/Hgf/Hhip/Hnf1b/Hoxa5/Hoxb7/Hs3st3b1/Igf1/Kdr/Kras/Lef1/Mdk/Met/Mgp/Mmp14/Npnt/Nrp1/Pak1/Pax8/Pbx1/Pgf/Pitx2/Prox1/Rspo3/Rtn4/Sema3e/Sfrp1/Sfrp2/Six4/Slit2/Snai2/Spry1/Sulf1/Tbx2/Tbx20/Tbx3/Tcf21/Tek/Tgfbr2/Tmem59l/Tnc/Wnt2b/Wnt4/Wnt5a,72
10,a,a,GO:0042692,muscle cell differentiation,102/1889,468/28891,1.3401789074591e-27,7.99684754080848e-25,4.46491183379797e-25,Actc1/Actn1/Actn3/Adamts15/Adamts5/Agtr2/Ank2/Ankrd23/Arrb2/Asf1a/Atp11a/Bcl2/Bdnf/Bmp4/Bves/Capn2/Capn3/Cdh2/Cdon/Cfh/Chuk/Cntnap2/Csrp1/Csrp2/Ctdp1/Cxcl12/Dkk1/Dock1/Ednra/Efnb2/Ehd2/Eng/Fgf10/Fgfr2/Fhl2/Flnc/Foxp1/Fzd7/Gper1/Hand2/Hdac2/Hdac9/Hes1/Hey2/Hnrnpu/Igf1/Igfbp5/Isl1/Itga8/Kcnj8/Kit/Klf5/Kras/Krt19/Lama2/Lamc1/Lox/Map2k4/Mapk14/Megf10/Meis1/Met/Mmp14/Msx1/Myh10/Myh11/Myocd/Nox4/Npnt/Nr3c1/Nrg1/Ntf3/Ntn3/Olfm2/Pak1/Pdgfrb/Pgm5/Pitx2/Plekho1/Pmp22/Prdm6/Prkd1/Prox1/Ramp2/Rarb/Rbm24/Rgs4/Six4/Smarcd3/Smyd1/Syne1/Tbx18/Tbx2/Tbx3/Tmem119/Tnnt2/Tnnt3/Tomm70a/Tpm1/Tshz3/Wnt4/Ybx1,102
14,a,a,GO:0014706,striated muscle tissue development,76/1889,301/28891,4.59975246156236e-25,1.96048020986733e-22,1.09460274743195e-22,Actc1/Agtr2/Angpt1/Arid2/Arrb2/Bdnf/Bmp4/Bmp5/Boc/Bves/Cdon/Ctdp1/Dkk1/Ednra/Efnb2/Eng/Fgf20/Fgfr1/Fgfr2/Fhl2/Foxc1/Foxc2/Foxp1/Fzd7/Gata5/Gjc1/Gli1/Hand2/Hdac2/Hdac7/Hdac9/Heg1/Hey2/Hnrnpu/Igf1/Isl1/Jarid2/Jph2/Kcnj8/Lef1/Lox/Map2k4/Mapk1/Mapk11/Mapk14/Meis1/Met/Myh10/Myh11/Myl7/Myocd/Ncam1/Nox4/Nr3c1/Nrg1/Pak1/Pdgfrb/Pgm5/Pitx2/Prox1/Rarb/Rgs4/Tbx18/Tbx2/Tbx20/Tbx3/Tgfb2/Tgfbr1/Tgfbr2/Tgfbr3/Tnnt2/Tomm70a/Tpm1/Twist1/Vgll4/Wnt5a,76
17,a,a,GO:0040013,negative regulation of locomotion,83/1889,358/28891,1.46907029290517e-24,5.15643672809714e-22,2.87901391767484e-22,Adarb1/Adtrp/Ager/Angpt2/Angpt4/Ap1ar/Arhgdib/Arid2/Arrdc3/Bcl2/Braf/Cdh1/Cdh11/Chrd/Clic4/Cnn2/Col3a1/Crk/Cxcl12/Cxcl13/Cyp1b1/Dach1/Dbn1/Dcn/Dlc1/Dpep1/Dpp4/Dpysl3/Drd4/Emilin1/Emilin2/Eng/Epha4/Fbln1/Frmd5/Gata3/Gm266/Hdac2/Hoxa7/Igfbp5/Il33/Ing2/Mapk15/Mcc/Mctp1/Myocd/Ngfr/Nr2f2/Nrg1/Nrp1/Ogt/Plcb1/Prkg1/Ptger4/Ptn/Ptprj/Ptprk/Reck/Robo2/Rras/Sap30/Scai/Sema3d/Sema3e/Sema4f/Sema6a/Sfrp1/Sfrp2/Slit2/Stard13/Stk24/Suds3/Sulf1/Tcaf1/Tgfbr3/Thy1/Tmeff2/Tpm1/Trp53inp1/Wnt11/Wnt4/Wnt5a/Zeb2,83
18,a,a,GO:0031589,cell-substrate adhesion,83/1889,368/28891,1.0311951564178e-23,3.41841194352501e-21,1.90861559652768e-21,Abi3bp/Actn1/Actn3/Adamts12/Angpt1/Angpt2/Ap1ar/Arhgap6/Atxn3/Bcl2/Bcl2l11/Braf/Bves/Cask/Ccdc80/Cd34/Cd36/Cdh11/Cdh13/Col13a1/Col1a1/Col26a1/Col3a1/Crk/Csf1/Dbn1/Dlc1/Dmtn/Dock1/Edil3/Efna1/Efna5/Egfl6/Emilin1/Emp2/Epha3/Fbln1/Fer/Fermt2/Fn1/Frem1/Fzd4/Fzd7/Gcnt2/Hoxa7/Hoxd3/Hpse/Itga1/Itga8/Itga9/Itgb4/Kdr/Lamc1/Lamc2/Lgals1/Lims2/Map4k4/Marcks/Mdk/Mmp14/Myoc/Nid2/Npnt/Nrp1/Pik3r1/Plet1/Postn/Prex1/Ptn/Ptprj/Ptprk/Rac3/Rras/Rsu1/Sema3e/Sfrp1/Sned1/Tek/Thy1/Triobp/Vcam1/Vwa2/Wnt4,83
27,a,a,GO:0001503,ossification,95/1889,484/28891,2.73542543653089e-22,6.04529021473327e-20,3.37529103571941e-20,Actn3/Adamts12/Asf1a/Bcl2/Bmp1/Bmp4/Bmp5/Bmpr1b/Cbfb/Chrd/Chrdl1/Chsy1/Col13a1/Col1a1/Col1a2/Creb3l1/Csf1/Csgalnact1/Cthrc1/Ctnnbip1/Dchs1/Ddr2/Dhrs3/Dkk1/Dlk1/Ecm1/Fat4/Fermt2/Fgfr1/Fgfr2/Fgfr3/Fhl2/Foxc1/Foxc2/Fzd1/Fzd9/Gdf10/Gfra4/Gli1/Gli2/Gli3/Gnas/Gpc3/Hand2/Hdac7/Hdac8/Hoxa2/Ibsp/Id4/Igf1/Igfbp5/Igsf10/Il6st/Lox/Lrp3/Lrrc17/Mapk1/Mapk11/Mapk14/Mdk/Mgp/Mmp14/Mmp16/Mn1/Myoc/Notum/Npnt/Osr1/Osr2/Pbx1/Pkdcc/Prkd1/Ptger4/Pth1r/Ptn/Rassf2/Sfrp1/Sfrp2/Sgms2/Sh3pxd2b/Slc24a3/Snai2/Sox11/Tcirg1/Tgfbr3/Thbs3/Tmem119/Twist1/Twist2/Vegfc/Wnt11/Wnt4/Wnt5a/Zbtb16/Zfp932,95
28,a,a,GO:0050803,regulation of synapse structure or activity,74/1889,317/28891,3.17510218020887e-22,6.68245782166927e-20,3.73104337109951e-20,Abi2/Abi3bp/Adgrb2/Amigo2/Arc/Asic2/Bdnf/Cask/Cdh2/Cdh8/Chrna7/Clstn1/Clstn2/Cux2/Dact1/Dbn1/Dkk1/Dlg4/Dnm3/Dtnbp1/Efna1/Efna5/Efnb3/Elavl2/Epha4/Epha7/Ephb2/Flrt2/Flrt3/Fmr1/Fzd1/Gpm6a/Grid1/Hnrnpm/Il1rap/Il1rapl2/Klk8/Lrfn5/Lrrn3/Lrrtm4/Mapk14/Marcks/Mfn1/Myh10/Nefl/Negr1/Neurl1a/Nlgn2/Nlgn3/Nrg1/Nrxn1/Ntrk2/Ntrk3/Ogt/Pafah1b1/Pcdh8/Pik3r1/Ppfia2/Ppp1r9a/Prnp/Ptn/Rps6ka5/Six4/Slit2/Slitrk6/Snca/Srpx2/St8sia2/Syndig1/Thbs2/Tpbg/Ube3a/Wnt5a/Zdhhc15,74
