,x
0610009B22Rik,b
0610012G03Rik,b
1110032A03Rik,b
1110032F04Rik,g
1110065P20Rik,b
1190005I06Rik,c
1190007I07Rik,b
1500009L16Rik,b
1600012H06Rik,b
1600014C10Rik,b
1700001L19Rik,b
1700003F12Rik,c
1700010I14Rik,b
1700011M02Rik,g
1700013H16Rik,b
1700016K19Rik,b
1700017B05Rik,f
1700018G05Rik,g
1700020L24Rik,c
1700025G04Rik,d
1700028K03Rik,b
1700029J07Rik,c
1700030J22Rik,b
1700030K09Rik,f
1700037C18Rik,b
1700037H04Rik,a
1700056E22Rik,a
1700088E04Rik,b
1700123O20Rik,b
1810009A15Rik,b
1810013L24Rik,b
1810030O07Rik,c
1810037I17Rik,g
1810055G02Rik,g
1810058I24Rik,e
1810062G17Rik,g
1810065E05Rik,c
2010003K11Rik,g
2200002D01Rik,c
2210016F16Rik,b
2210016L21Rik,b
2210408I21Rik,b
2300009A05Rik,b
2310011J03Rik,f
2310022A10Rik,f
2310022B05Rik,d
2310033P09Rik,b
2310034G01Rik,b
2310039H08Rik,b
2310061I04Rik,a
2410002F23Rik,g
2410004P03Rik,a
2510002D24Rik,b
2510009E07Rik,c
2510039O18Rik,a
2610008E11Rik,c
2610044O15Rik8,b
2610318N02Rik,d
2810021J22Rik,c
2810408A11Rik,c
2900026A02Rik,d
3110009E18Rik,b
3110021N24Rik,a
3110040N11Rik,b
3110082I17Rik,h
3830403N18Rik,c
3830406C13Rik,b
4833420G17Rik,c
4833439L19Rik,g
4921507P07Rik,g
4930430F08Rik,e
4930447C04Rik,b
4930486L24Rik,h
4930503L19Rik,d
4930523C07Rik,b
4930524B15Rik,b
4930550C14Rik,b
4930563E22Rik,b
4930572O03Rik,d
4930579G24Rik,a
4930595M18Rik,g
4931406C07Rik,a
4931414P19Rik,d
4931428F04Rik,f
4933407L21Rik,b
4933434E20Rik,b
5031410I06Rik,b
5031439G07Rik,d
5730409E04Rik,b
5730455P16Rik,c
6030468B19Rik,d
6030498E09Rik,e
6330403K07Rik,d
6430548M08Rik,h
6720489N17Rik,c
6820408C15Rik,a
8030462N17Rik,e
9030025P20Rik,b
9030624G23Rik,a
9130008F23Rik,c
9130019O22Rik,a
9130023H24Rik,b
9130401M01Rik,f
9330159F19Rik,e
9430015G10Rik,h
9430038I01Rik,b
9530068E07Rik,g
9530077C05Rik,h
9930012K11Rik,c
9930021J03Rik,b
9930104L06Rik,d
A1bg,b
A2m,h
A430005L14Rik,b
A430033K04Rik,c
A4galt,b
A530016L24Rik,g
A630073D07Rik,g
A730046J19Rik,b
A930009A15Rik,e
AA467197,h
AA986860,d
AB124611,c
AI467606,c
AI661453,c
AI987944,b
AU015836,g
AU021092,g
AU040320,f
AW146154,b
AW209491,b
AW551984,d
AW554918,e
Aaas,h
Aacs,c
Aagab,e
Aak1,e
Aamdc,b
Aard,g
Aars,f
Aars2,f
Aarsd1,h
Aass,g
Aatf,a
Abca1,g
Abca12,g
Abca2,g
Abca4,c
Abca5,c
Abca6,e
Abca7,f
Abca8b,d
Abca9,c
Abcb10,g
Abcb1a,e
Abcb1b,e
Abcb6,a
Abcb7,d
Abcb8,f
Abcc1,f
Abcc10,f
Abcc3,c
Abcd1,f
Abcd2,c
Abcd3,g
Abcd4,d
Abcf1,e
Abcg1,a
Abcg3,d
Abcg4,f
Abcg5,c
Abhd10,a
Abhd11,c
Abhd12,c
Abhd13,d
Abhd14a,c
Abhd14b,c
Abhd15,e
Abhd17a,g
Abhd17b,b
Abhd17c,b
Abhd2,h
Abhd3,b
Abhd4,f
Abhd8,a
Abi2,c
Abi3,d
Abi3bp,b
Abl1,f
Abl2,g
Ablim1,b
Ablim2,d
Ablim3,c
Abr,d
Abtb1,f
Abtb2,g
Acaa2,c
Acaca,g
Acad10,c
Acad12,f
Acad8,b
Acad9,g
Acadl,a
Acadm,b
Acads,g
Acadsb,c
Acadvl,c
Acan,b
Acap1,g
Acap2,c
Acap3,d
Acat1,b
Acat2,d
Acat3,d
Acbd3,a
Acbd4,b
Acbd6,g
Acd,c
Ace2,e
Acer2,e
Acer3,b
Ache,d
Acin1,f
Ackr1,d
Ackr4,d
Acly,g
Acmsd,d
Acnat1,d
Acot1,e
Acot11,e
Acot13,b
Acot2,c
Acot3,c
Acot4,c
Acot6,c
Acot7,b
Acox3,d
Acoxl,g
Acp1,b
Acp5,d
Acsbg1,a
Acsf2,c
Acsf3,f
Acsl3,f
Acsl4,h
Acsl5,b
Acsl6,c
Acsm3,c
Acss1,a
Acss2,g
Acta1,d
Acta2,d
Actb,c
Actc1,d
Actg2,d
Actn1,d
Actn3,c
Actn4,e
Actr1a,e
Actr1b,f
Actr2,c
Actr3,e
Actr3b,a
Actr6,c
Actr8,g
Acvr1,g
Acvr1b,f
Acvr1c,b
Acvr2b,d
Acvrl1,h
Acy1,d
Acy3,b
Acyp1,b
Acyp2,b
Ada,g
Adad1,b
Adad2,a
Adam10,b
Adam11,e
Adam12,e
Adam15,d
Adam19,d
Adam22,d
Adam8,d
Adam9,e
Adamts1,d
Adamts10,f
Adamts12,d
Adamts15,d
Adamts16,g
Adamts17,b
Adamts18,d
Adamts19,b
Adamts2,h
Adamts3,d
Adamts4,d
Adamts5,e
Adamts7,h
Adamts8,f
Adamts9,g
Adamtsl1,d
Adamtsl3,e
Adap2,d
Adar,a
Adarb1,d
Adat1,g
Adat2,b
Adat3,f
Adck1,a
Adck2,a
Adck5,b
Adcy1,d
Adcy10,d
Adcy2,c
Adcy3,c
Adcy4,d
Adcy6,b
Adcy7,d
Adcy9,g
Adcyap1r1,h
Add2,d
Add3,b
Adgra2,g
Adgra3,d
Adgrb2,c
Adgre1,d
Adgre5,c
Adgrf5,c
Adgrg1,g
Adgrg2,b
Adgrl1,g
Adgrl2,h
Adgrl3,d
Adh1,e
Adh4,h
Adh5,f
Adh7,g
Adhfe1,e
Adi1,g
Adipor1,a
Adipor2,g
Adk,b
Adm,c
Adnp2,h
Ado,c
Adora1,g
Adora2a,d
Adprh,f
Adprhl1,a
Adprm,b
Adra1d,d
Adra2b,d
Adrb2,g
Adrm1,g
Adssl1,c
Adtrp,c
Aebp1,g
Aebp2,a
Aen,e
Afap1,d
Afap1l1,d
Afap1l2,g
Aff1,d
Aff2,g
Aff3,d
Aff4,e
Afg3l1,f
Afmid,b
Aftph,g
Aga,a
Agap1,c
Agap3,h
Agbl3,b
Agbl5,f
Agfg2,f
Aggf1,a
Agk,b
Agl,f
Agmat,g
Ago1,d
Ago2,d
Ago4,b
Agpat1,f
Agpat2,c
Agpat3,d
Agpat4,g
Agpat5,b
Agps,e
Agrn,f
Agt,g
Agtpbp1,d
Agtr1a,b
Agtr2,d
Agtrap,a
Ahctf1,e
Ahcy,g
Ahcyl2,e
Ahdc1,f
Ahi1,h
Ahnak,c
Ahr,g
Ahsa1,c
Ahsa2,c
Ahsg,g
Aida,c
Aif1,d
Aif1l,d
Aifm2,c
Aifm3,c
Aig1,d
Aim2,d
Aip,b
Aire,c
Ajuba,h
Ak1,e
Ak2,f
Ak3,g
Ak4,c
Ak5,d
Ak6,g
Ak7,b
Ak8,b
Akap1,d
Akap11,b
Akap12,g
Akap13,e
Akap17b,b
Akap5,a
Akap7,b
Akap9,b
Akip1,b
Akirin1,e
Akna,f
Akr1a1,e
Akr1b10,b
Akr1b3,g
Akr1b7,g
Akr1b8,e
Akr1c13,b
Akr1c14,b
Akr1c18,c
Akr1c19,d
Akr1cl,e
Akr1e1,b
Akr7a5,f
Akt1,c
Akt1s1,g
Akt2,f
Akt3,d
Aktip,b
Alad,b
Alas1,b
Alas2,d
Alcam,b
Aldh16a1,f
Aldh18a1,f
Aldh1a1,g
Aldh1a2,b
Aldh1a3,c
Aldh1a7,b
Aldh1b1,c
Aldh1l1,g
Aldh3a2,h
Aldh3b1,g
Aldh3b2,d
Aldh3b3,b
Aldh4a1,f
Aldh5a1,c
Aldh6a1,a
Aldh7a1,g
Aldh9a1,e
Aldoa,g
Aldoc,b
Alg1,a
Alg10b,e
Alg11,e
Alg12,g
Alg13,g
Alg6,g
Alg8,h
Alg9,d
Alkbh1,h
Alkbh3,a
Alkbh4,f
Alkbh5,d
Alkbh7,b
Alox5,d
Alox5ap,d
Alpk1,c
Alpk3,c
Alpl,h
Alppl2,h
Als2,e
Als2cl,g
Alx1,e
Alyref,d
Alyref2,b
Amacr,b
Ambp,d
Ambra1,f
Amdhd2,f
Amer1,c
Amer2,d
Amfr,d
Amh,g
Amhr2,a
Amigo2,b
Amigo3,g
Ammecr1,e
Ammecr1l,g
Amn1,g
Amot,d
Amotl1,c
Amotl2,h
Ampd2,f
Ampd3,d
Amph,b
Amz2,c
Anapc1,f
Anapc10,b
Anapc11,c
Anapc13,b
Anapc15,h
Anapc5,b
Ang,c
Angel1,d
Angpt1,d
Angpt2,d
Angpt4,c
Angptl1,a
Angptl2,g
Angptl4,d
Angptl6,b
Angptl7,b
Ank,g
Ank1,h
Ank2,d
Ank3,b
Ankfy1,d
Ankhd1,b
Ankib1,d
Ankle1,h
Ankmy2,b
Ankra2,b
Ankrd1,e
Ankrd10,c
Ankrd12,b
Ankrd13a,g
Ankrd13b,d
Ankrd13d,c
Ankrd17,b
Ankrd23,c
Ankrd24,c
Ankrd28,c
Ankrd29,b
Ankrd33b,e
Ankrd34a,d
Ankrd35,c
Ankrd37,c
Ankrd39,a
Ankrd42,b
Ankrd44,e
Ankrd45,d
Ankrd46,c
Ankrd50,g
Ankrd52,f
Ankrd54,c
Ankrd55,c
Ankrd6,e
Ankrd63,g
Ankrd9,h
Anks1,e
Ankzf1,f
Anln,h
Ano1,b
Ano4,h
Ano6,e
Anp32b,e
Anp32e,e
Anpep,c
Antxr1,h
Antxr2,c
Anxa1,b
Anxa2,b
Anxa3,d
Anxa4,a
Anxa5,g
Anxa6,c
Anxa9,e
Aoc3,g
Aox3,b
Aox4,c
Ap1ar,d
Ap1b1,f
Ap1m2,g
Ap1s2,e
Ap2a1,f
Ap2a2,f
Ap2b1,f
Ap2m1,c
Ap2s1,c
Ap3m2,g
Ap4e1,g
Ap4m1,f
Ap4s1,c
Ap5b1,f
Ap5m1,g
Ap5s1,b
Ap5z1,f
Apaf1,f
Apba2,g
Apba3,f
Apbb1,d
Apbb1ip,d
Apc,g
Apcdd1,c
Apeh,f
Apex1,a
Apex2,f
Aph1a,f
Aph1b,e
Aph1c,b
Apip,b
Apln,b
Aplp1,d
Aplp2,g
Apmap,g
Apoa1,d
Apoa4,g
Apobec1,d
Apobec2,g
Apoc1,b
Apoc2,a
Apoc3,g
Apoc4,c
Apoe,c
Apol10b,b
Apol6,g
Apold1,b
Apoo,b
Apool,b
Appbp2,g
Appl2,h
Aprt,c
Aptx,b
Aqp1,e
Aqp11,b
Aqp12,g
Aqp2,c
Aqp3,d
Aqp5,e
Aqp8,d
Aqr,f
Arap1,d
Arap2,a
Arap3,d
Arc,c
Arcn1,e
Arel1,g
Arf1,g
Arf2,b
Arf4,e
Arf5,d
Arf6,e
Arfgap1,g
Arfgap3,b
Arfgef1,c
Arfgef2,f
Arfip1,e
Arfip2,f
Arg1,b
Arglu1,b
Arhgap10,d
Arhgap11a,h
Arhgap17,f
Arhgap18,g
Arhgap19,e
Arhgap20,d
Arhgap21,d
Arhgap22,c
Arhgap23,c
Arhgap24,c
Arhgap25,d
Arhgap26,b
Arhgap27,d
Arhgap28,d
Arhgap29,c
Arhgap30,d
Arhgap31,h
Arhgap32,a
Arhgap33,h
Arhgap36,c
Arhgap39,d
Arhgap4,g
Arhgap42,c
Arhgap44,b
Arhgap5,g
Arhgap6,c
Arhgap8,c
Arhgap9,h
Arhgdia,f
Arhgdib,d
Arhgdig,g
Arhgef1,f
Arhgef10,g
Arhgef10l,d
Arhgef11,b
Arhgef12,b
Arhgef16,e
Arhgef17,g
Arhgef18,f
Arhgef19,c
Arhgef2,f
Arhgef25,c
Arhgef28,g
Arhgef3,g
Arhgef39,h
Arhgef4,g
Arhgef40,f
Arhgef5,d
Arhgef6,d
Arhgef7,f
Arhgef9,d
Arid1b,b
Arid3a,d
Arid3b,f
Arid4a,b
Arid4b,b
Arid5a,f
Arid5b,a
Arih2,f
Arl1,g
Arl10,f
Arl13b,b
Arl14,g
Arl14ep,b
Arl16,b
Arl2,b
Arl2bp,d
Arl3,b
Arl4a,b
Arl4c,d
Arl4d,b
Arl5a,e
Arl5c,c
Arl6,c
Arl6ip1,b
Arl6ip5,b
Arl6ip6,g
Armc2,g
Armc5,f
Armc6,f
Armc7,b
Armcx1,a
Armcx2,d
Armcx3,e
Armcx4,e
Armcx5,a
Armcx6,b
Arnt,f
Arnt2,c
Arntl2,c
Arpc1a,g
Arpc1b,g
Arpc2,b
Arpc3,f
Arpc5,c
Arpc5l,a
Arpin,b
Arpp19,e
Arrb1,e
Arrb2,d
Arrdc2,f
Arrdc3,e
Arrdc4,b
Arsa,f
Arsb,g
Arsg,d
Arsk,a
Art1,b
Art3,g
Art4,d
Art5,c
Arvcf,d
Arx,c
Arxes1,e
As3mt,b
Asah1,g
Asah2,g
Asap1,c
Asap2,e
Asap3,c
Asb1,c
Asb12,d
Asb13,c
Asb2,d
Asb3,c
Asb4,d
Asb6,f
Asb8,c
Ascc1,b
Ascc2,f
Ascc3,e
Ascl1,d
Asf1a,c
Asf1b,a
Asgr1,c
Ash2l,d
Asic2,b
Asic4,h
Asl,b
Asns,d
Aspa,b
Asph,e
Asphd2,c
Aspm,h
Ass1,g
Aste1,g
Asxl1,g
Asxl2,g
Asxl3,d
Asz1,a
Atad1,g
Atad2,h
Atad2b,b
Atad3a,f
Atad5,h
Atat1,a
Atf1,g
Atf2,c
Atf3,a
Atf4,h
Atf5,d
Atf6b,f
Atf7,g
Atf7ip2,b
Atg101,g
Atg14,a
Atg16l1,f
Atg16l2,h
Atg2a,f
Atg3,b
Atg4a,b
Atg4c,b
Atg4d,f
Atg5,b
Atg9a,f
Atg9b,e
Atic,f
Atl1,b
Atl2,g
Atl3,g
Atm,g
Atn1,f
Atoh8,a
Atox1,b
Atp10a,d
Atp11a,c
Atp11c,d
Atp13a1,f
Atp13a2,f
Atp13a3,b
Atp1a1,f
Atp1a2,g
Atp1a3,e
Atp1b1,b
Atp1b2,g
Atp1b3,g
Atp2a1,f
Atp2a2,g
Atp2a3,g
Atp2b1,g
Atp2b3,b
Atp2b4,h
Atp2c2,d
Atp4a,h
Atp5b,f
Atp5c1,g
Atp5d,f
Atp5e,a
Atp5g1,b
Atp5g2,a
Atp5h,b
Atp5k,b
Atp5l,b
Atp5o,b
Atp6ap1l,b
Atp6v0a1,g
Atp6v0a2,f
Atp6v0c,g
Atp6v0e,g
Atp6v1b2,c
Atp6v1c1,b
Atp6v1d,b
Atp6v1e1,g
Atp6v1f,b
Atp6v1h,g
Atp7a,e
Atp8a1,g
Atp8a2,g
Atp8b1,e
Atp8b2,g
Atp8b3,c
Atp8b4,b
Atp8b5,g
