"","E11.5_XX_enh8.mcherry_rep1","E11.5_XX_enh8.mcherry_rep2","E11.5_XX_enh8.mcherry_rep3","E11.5_XY_SOX9.IRES.GFP_rep1","E11.5_XY_SOX9.IRES.GFP_rep2","E11.5_XY_SOX9.IRES.GFP_rep3","E12.5_XX_enh8.mcherry_rep1","E12.5_XX_enh8.mcherry_rep2","E12.5_XX_enh8.mcherry_rep3","E12.5_XY_SOX9.IRES.GFP_rep1","E12.5_XY_SOX9.IRES.GFP_rep2","E12.5_XY_SOX9.IRES.GFP_rep3","E13.5_XX_enh8.mcherry_rep1","E13.5_XX_enh8.mcherry_rep2","E13.5_XX_enh8.mcherry_rep3","E13.5_XY_SOX9.IRES.GFP_rep1","E13.5_XY_SOX9.IRES.GFP_rep2","E13.5_XY_SOX9.IRES.GFP_rep3","E15.5_XX_enh8.mcherry_rep1","E15.5_XX_enh8.mcherry_rep2","E15.5_XX_enh8.mcherry_rep3","E15.5_XY_SOX9.IRES.GFP_rep1","E15.5_XY_SOX9.IRES.GFP_rep2","E15.5_XY_SOX9.IRES.GFP_rep3"
"0610005C13Rik",4,1,4,20,6,19,4,4,3,9,11,7,1,8,2,9,4,14,0,3,3,8,1,3
"0610007P14Rik",1089,1647,950,2403,2638,2392,1513,1374,1153,1303,1330,1203,965,1577,865,1446,1936,2321,880,1066,1547,2326,1772,1755
"0610009B22Rik",1500.9,2338.78,1353.92,1940,2535,2159,1798.9,1358.87,1450,1785,1487.68,1429.79,1337.8,2625.8,1452.78,1276,2028.78,2114.82,1677.63,1815,3301.65,1678,1381.87,1253
"0610009L18Rik",72,175,64,125,159,122,164,174,161,39,35,41,88,163,92,34,53,59,96,121,210,45,33,38
"0610009O20Rik",1174.25,1478.38,868.15,2678.39,2926.19,2118.91,1787.96,1755.95,1586.34,2326.86,2507.64,2304.31,782.82,1228.35,644.43,2049.09,2621.06,3129.13,406.83,584.54,601.72,2669.97,1977.88,1826.87
"0610010B08Rik",33.76,43.56,67.64,89.74,233.39,289.01,56.95,34.31,59.72,52.25,25.66,63.56,22.26,99.03,59.38,24.62,129.35,39.85,70.15,39.64,82.13,47.13,50.49,80.06
"0610010F05Rik",689,719,421,1913,1787,1707,830,660,694,1004,1118,1063,305,677,341,832,1160,1244,375,457,735,1075,683,582
"0610010K14Rik",497,811,506,1265,1389,1217,875,784,841,726,830,765,490,904,547,611,772,863,419,481,740,968,723,708
"0610011F06Rik",600,1309,490,1112,1148,1045,1286,1056,1114,1607,1545,1419,786,1442,831,1815,2705,2969,968,1066,1672,2149,1736,1679
"0610012G03Rik",892,2023,769,2070,2366,2069,2066,1817,1724,1447,1398,1454,1234,2316,1220,1174,1623,1792,1172,1241,1908,1556,1194,1089
