,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Gnai3,109.15,73.19,67.64,120.18,77.83,113.3,115.29,117.15,61.62,94.58,67.62,86.64
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,25.02,17.6,20.59,32.87,29.67,33.1,28.35,25.88,26.87,35.07,18.95,20.65
H19,6185.08,4118.34,4587.81,6220.66,6192.96,4595.35,6156.38,5416.44,2219.29,2949.73,1777.01,2308.02
Scml2,6.4,5.26,17.39,29.89,27.03,69.94,71.01,7.29,15.23,20.04,50.08,33.24
Apoh,0,0.03,0,0.1,0.1,0.24,0.16,0.08,0.03,0.04,0.03,0
Narf,23.35,17.66,11.56,18.44,14.71,15.61,16.83,22.78,11.16,16.01,14.56,17.71
Cav2,3.07,2.63,1.74,2.74,1.99,2.75,2.61,3.07,2.38,2.29,1.96,2.64
Klf6,19.38,12.94,9.03,13.81,9.19,11.64,11.2,20.85,12.82,19.44,28.52,24.14
Scmh1,38.07,28.2,38.5,50.13,38.24,68.2,50.86,31.98,17.27,23.57,17.04,22.99
Cox5a,93.11,56.06,90.16,145.46,190.62,152.63,98.67,118.66,81.12,107.06,66.81,69.18
Tbx2,33.39,20.23,22.41,30.94,28.86,21.75,23.59,36.22,42.06,72.86,42.25,51.28
Tbx4,6.1,5.21,8.18,11.56,4.49,4.61,4.52,4.75,5.16,4.93,3.56,3.89
Zfy2,0,0,0,0,0,0,0,0.32,0.36,0.54,0.89,0.71
Ngfr,15.41,10.73,11.61,23.45,17.13,22.33,20.94,21.7,24.48,36.61,24.34,26.78
Wnt3,0.24,0.18,0.64,0.97,0.43,0.39,0.63,0.38,5.05,4.8,5.54,7.37
Wnt9a,4.29,3.11,7.69,10.86,8.15,6.42,7.82,1.87,0.53,0.77,0.71,0.7
Fer,22.97,17.52,14.75,28.64,15.99,20.9,21.93,23.64,14.12,19.45,23.29,23.53
Xpo6,64.62,44.39,42.82,78.94,68.73,74.67,60.65,72.16,51.23,76.49,56.9,57.54
Tfe3,25.18,18.91,21.02,31.25,17.18,19.95,17.9,20.58,15.16,21.21,22.69,26.22
Axin2,20.62,14.42,24.43,44.74,29.61,42.13,45.55,16.79,9.5,13.06,14.08,12.27
Brat1,7.07,3.41,3.64,7.31,6.7,6.05,4.18,8.28,3.98,7.9,8.06,5.96
Gna12,31.52,21.11,20.19,35.12,30.24,31.51,30.33,45.59,27.8,40.87,26.73,32.77
