"","E11.5_XX_enh8.mcherry_rep1","E11.5_XX_enh8.mcherry_rep2","E11.5_XX_enh8.mcherry_rep3","E11.5_XY_SOX9.IRES.GFP_rep1","E11.5_XY_SOX9.IRES.GFP_rep2","E11.5_XY_SOX9.IRES.GFP_rep3","E12.5_XX_enh8.mcherry_rep1","E12.5_XX_enh8.mcherry_rep2","E12.5_XX_enh8.mcherry_rep3","E12.5_XY_SOX9.IRES.GFP_rep1","E12.5_XY_SOX9.IRES.GFP_rep2","E12.5_XY_SOX9.IRES.GFP_rep3","E13.5_XX_enh8.mcherry_rep1","E13.5_XX_enh8.mcherry_rep2","E13.5_XX_enh8.mcherry_rep3","E13.5_XY_SOX9.IRES.GFP_rep1","E13.5_XY_SOX9.IRES.GFP_rep2","E13.5_XY_SOX9.IRES.GFP_rep3","E15.5_XX_enh8.mcherry_rep1","E15.5_XX_enh8.mcherry_rep2","E15.5_XX_enh8.mcherry_rep3","E15.5_XY_SOX9.IRES.GFP_rep1","E15.5_XY_SOX9.IRES.GFP_rep2","E15.5_XY_SOX9.IRES.GFP_rep3"
"Gnai3",182.38,152.16,164.9,224.28,205.45,193.05,227.49,197.18,183.23,216.43,208.49,207.62,158.94,160.35,167.99,193.55,203.26,200.19,154.94,174.47,163.54,177.18,171.17,152.39
"Pbsn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdc45",13.91,7.06,11.07,13.3,17.26,19.79,8.37,7.99,6.2,13.9,18.88,19.72,7.56,7.19,6.47,16.54,12.81,10.87,4.34,5.46,6.11,28.4,26.59,32.17
"H19",610.24,1148.09,628.34,342.27,438.08,366.23,855.56,847.87,765.34,11.01,10.39,10.41,753.93,683.64,670.6,5.14,5.64,6.55,818.59,806.68,640.19,6.92,7.26,6.08
"Scml2",1.77,2.84,3.4,2.52,3.64,3.55,4.62,3.74,3.15,1.4,2.41,2.22,3.06,2.23,3.19,1.77,2.6,1.57,3.79,5.53,4.48,3.76,4.33,2.97
"Apoh",0,0,0.35,0.29,0.43,0.3,0.22,0,0.5,0,0.42,0,0,0,0,0.63,0.59,0.36,0.11,0,0.09,0.88,0.44,0.94
"Narf",65.5,37.53,69.41,39.1,39.53,44.37,72.14,64.79,60.87,41.33,27.68,27.95,62.3,57.32,54.41,28.95,30.72,33.71,45.8,60.09,44.99,29.84,26.63,28.09
"Cav2",2.38,1.78,3.23,0.27,0.49,1.22,1.14,1.22,1.95,0.15,0.18,0.17,1.69,2.03,1.03,0.63,0.53,0.45,2.9,2.46,3.16,0.72,0.62,0.57
"Klf6",786.16,267.63,68.79,854.62,529.93,843.48,156.04,170.47,380.62,106.95,360.28,411.48,525.4,675.73,849.38,290.47,195.36,202.52,247.97,250.69,250.44,611.81,696.07,655.54
"Scmh1",27.31,26.67,23.58,24.51,24.15,19.88,44.51,54.93,48.57,16.49,18.93,16.25,34.35,26.8,26.56,21.29,16.12,22.38,24.31,33.24,19.65,26.74,28.15,25.66
"Cox5a",350.8,429.78,346.35,502.24,536.78,515.94,417.61,428.45,378.64,491.14,470.39,474.35,465.44,462.49,476.55,389.57,371.32,359.56,374.59,393.36,381.91,387.32,396.08,405.82
"Tbx2",5.87,6.78,5.49,3.85,4.23,4.98,6.7,6.69,9.14,0.26,0.46,0.68,3.94,3.76,3.27,0.07,0.26,0.25,3.38,4.62,4.22,0.41,0.42,0.28
"Tbx4",0.03,0.02,0.48,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.02,0.03,0
"Zfy2",0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.03,0.02,0,0,0,0,0,0.06,0.07
"Ngfr",22.21,23.27,31.27,16.71,27.02,36.84,63.45,57.73,28.58,0.48,0.51,0.74,25.89,22.93,29.75,0.29,0.46,0.54,3.74,10.09,4.48,1.88,3.68,2.62
"Wnt3",0,0,0.03,0.03,0,0,0.02,0,0,0.02,0,0,0,0.02,0,0,0.02,0.02,0,0,0,0.08,0.25,0
"Wnt9a",17.23,19.34,15.11,1.55,1.67,1.6,36.19,40.27,41.46,0.68,0.79,0.37,11.83,8.79,9.5,0.37,0.21,0.27,1.85,3.37,1.69,0.18,0.18,0.19
"Fer",31.75,21.63,28.37,28.97,27.94,31.69,28.25,25.75,31.88,15.74,17.95,17.51,22.47,22.45,24.56,14.58,13.5,14.12,19.61,20.12,21.26,13.07,17.36,13.24
"Xpo6",35.54,33.3,46.81,70.88,67.93,82.3,38.38,36.34,53.7,32.27,28.91,30.98,36.28,37.65,36.85,38.05,41.27,42.08,55.78,52.78,51.6,34.7,32.83,34.29
"Tfe3",31.39,26.97,34.4,21.64,27.27,19.36,32.93,34.37,29.67,25.33,24.29,21.33,17.77,16.65,15.04,23.13,18.95,27.84,12.95,19.13,10.79,19.7,23.91,23.08
"Axin2",6.98,12.48,7.16,3.08,2.99,3.64,25.13,25.47,20.11,1,1.17,1.04,21.9,20.27,20.17,1.99,1.93,1.97,29.38,31.59,33.89,2.52,3.13,2.62
"Brat1",18.62,17.07,23.1,12.3,20.69,15.95,26.02,28.72,21.5,39.07,30.67,28.57,10.35,7.29,7.96,44.61,43.3,46.46,4.16,9.52,3.09,42.94,41.78,41.14
