,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Gnai3,105.66,70.21,112.76,65.36,116.12,59.19,92.09,74.93,110.89,110.83,65.09,83.34
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,24.94,17.08,25.77,19.98,32.5,26.17,34.96,29.72,33.54,27.52,18.8,19.96
H19,6160.7,3933.44,5334.75,4452.58,6196.41,2162.41,3001.43,6226.08,4317.01,5993.63,1689.95,2272.44
Scml2,9.51,6.61,9.6,26.92,42.42,21.46,30.36,46.21,105.7,100.49,65.05,51.32
Apoh,0,0.03,0.08,0,0.1,0.03,0.04,0.1,0.25,0.12,0.03,0
Narf,22.75,17.11,21.91,11.27,17.93,10.88,15.68,14.34,15.51,16.49,13.96,17.16
Cav2,3.19,2.65,2.79,1.69,2.65,2.37,2.11,1.87,2.84,2.48,1.82,2.6
Klf6,19.51,12.78,20.23,8.81,13.64,12.62,19.15,9.19,11.56,10.98,28.23,23.82
Scmh1,36.67,26.71,30.1,36.15,47.6,16,21.95,34.73,65.66,47.93,15.99,21.54
Cox5a,86.02,53.69,116.95,86.66,140.6,78.45,97.75,162.33,139.71,95.79,62,65.58
Tbx2,32.39,19.36,35.13,21.61,30.01,40.67,70.52,27.84,20.99,22.82,39.76,49.22
Tbx4,5.93,4.94,4.5,7.96,11.07,4.95,4.8,4.23,4.34,4.33,3.29,3.68
Zfy2,0,0,0.29,0,0,0.34,0.47,0,0,0,0.85,0.68
Ngfr,15.41,10.39,21.37,11.25,23.01,23.79,35.95,17.02,22.36,20.17,23.73,25.98
Wnt3,0.21,0.17,0.35,0.6,0.95,4.83,4.65,0.4,0.41,0.62,5.33,7.15
Wnt9a,4.11,2.98,1.79,7.46,10.53,0.5,0.7,7.88,6.27,7.55,0.7,0.68
Fer,24.6,18.47,24.16,15.17,29.19,16.1,20.26,18.22,21.89,22.74,24.05,24.29
Xpo6,61.69,43.56,71.07,41.29,77.29,49.33,72.87,59.43,74.41,58.45,56.04,56.06
Tfe3,22.48,17.99,19.01,20.07,27.5,14.43,19.99,14.51,18.33,16.95,21.06,24.24
Axin2,19.92,13.85,16.12,23.77,43.06,9.27,12.67,27.93,41.64,43.27,13.48,11.86
Brat1,6.75,3.25,7.97,3.39,6.94,3.75,7.75,6.34,6.07,3.99,7.76,5.67
Gna12,30.52,20.02,43.64,19.37,33.37,26.61,39.48,28.88,30.57,29.05,25.32,31.34
Slc22a18,0.43,0.29,0.2,1.51,1.89,0.15,0.13,3.64,3.31,3.42,0.37,0.23
Itgb2l,0,0,0,0.04,0,0,0,0.01,0,0.03,0,0
Igsf5,0.7,0.27,0.39,0.19,0.14,0.06,0.1,0.15,0.47,0.1,0.71,0.35
Pih1d2,3.31,2.24,3.4,3.13,3.4,4.48,5.1,4.98,6.03,4.71,8.1,8.36
Dlat,22.37,19.27,22.52,20.12,22.33,19.48,27.33,19.55,28.12,25.17,24.96,29.39
Sdhd,94.53,70.08,110.82,93.05,104.93,76,91.02,120.15,106.16,101.71,66.21,94.76
Fgf23,0,0,0,0,0,0,0,0.02,0,0,0.02,0
Fgf6,0,0,0,0,0,0,0,0,0.01,0,0,0
Ccnd2,68.66,31.44,78.93,27.31,61.76,26.22,48,32.97,42.75,50.1,26.72,35.54
Gpr107,28.11,14.38,26.6,14.62,26.25,16.72,25.05,17.6,21.47,22.34,29.24,25.4
