"","E11.5_XX_enh8.mcherry_rep1","E11.5_XX_enh8.mcherry_rep2","E11.5_XX_enh8.mcherry_rep3","E11.5_XY_SOX9.IRES.GFP_rep1","E11.5_XY_SOX9.IRES.GFP_rep2","E11.5_XY_SOX9.IRES.GFP_rep3","E12.5_XX_enh8.mcherry_rep1","E12.5_XX_enh8.mcherry_rep2","E12.5_XX_enh8.mcherry_rep3","E12.5_XY_SOX9.IRES.GFP_rep1","E12.5_XY_SOX9.IRES.GFP_rep2","E12.5_XY_SOX9.IRES.GFP_rep3","E13.5_XX_enh8.mcherry_rep1","E13.5_XX_enh8.mcherry_rep2","E13.5_XX_enh8.mcherry_rep3","E13.5_XY_SOX9.IRES.GFP_rep1","E13.5_XY_SOX9.IRES.GFP_rep2","E13.5_XY_SOX9.IRES.GFP_rep3","E15.5_XX_enh8.mcherry_rep1","E15.5_XX_enh8.mcherry_rep2","E15.5_XX_enh8.mcherry_rep3","E15.5_XY_SOX9.IRES.GFP_rep1","E15.5_XY_SOX9.IRES.GFP_rep2","E15.5_XY_SOX9.IRES.GFP_rep3"
"Gnai3",6637,7392,5200,16686,15477,14015,11330,8512,8217,10286,10864,10364,4846,8983,5124,7692,11380,12287,4192,5593,8656,8907,6596,5382
"Pbsn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdc45",293,205,207,590.97,765,837,232,201,170,375.9,582.83,577.95,145,228,127,375,434,372,74,96,198.51,848,594,657
"H19",12075,28977.6,10697,12819.16,17072.75,13034,21076.25,19033,16937.66,302.33,300,290,10897.22,17675,9589,101,161,222,9773.38,11822.33,15138,180,147,112
"Scml2",75,129,64,212,257,277,200,166,122,83,111,119,69,110,68,52,114,109,103,128,238,158,142,115
"Apoh",0,0,1,2,3,2,1,0,2,0,2,0,0,0,0,3,3,2,1,0,1,4,3,3
"Narf",2230,1874,2239,2813,3082,3054,3455,2639,2457,1666,1433,1345,1741,2878,1567,1030,1615,1795,1125,1690,2084,1254,932,974
"Cav2",65,66,79,15,26,64,37,39,53,6,4,4,36,68,23,11,16,17,51,61,122,30,15,12
"Klf6",14363,6733,1085,31389,19822,30269,4115,3832,8530,2621,9868,10579,7948,19595,12815,5805,5649,6513,3337,4079,6748,15716,13836,11910
"Scmh1",725,889,561,1210,1139,992,1502,1592,1384,630,681,570,685,1014,565,566,650,839,433,666,663,842,679,540
"Cox5a",2302.56,3752.86,1961.77,6838.54,7311.5,6820.52,3720.5,3315.16,3035.84,4172.87,4419.45,4240.15,2549.05,4651.5,2604.89,2789.68,3719.69,3958.54,1823.96,2264.09,3624.77,3522.36,2754.61,2596.75
"Tbx2",238,367,193,319,355,403,372,322,457,14,27,38,134,235,111,3,16,17,102,165,249,23,18,11
"Tbx4",1,1,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"Zfy2",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2.02,2
"Ngfr",855,1196,1043,1315,2153,2829,3343,2636,1356,24,28,39,835,1359,960,12,27,35,107,342,251,100,150,98
"Wnt3",0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,4,9,0
"Wnt9a",638,956,485,117,128,118,1834,1769,1892,33,42,19,367,501,295,15,12,17,51,110,91,9,7,7
"Fer",859,772,656,1820,1810,1875,1146,873,1147,625,805,741,529,947,541,500,595,691,419,532,800,560,526,399
"Xpo6",886,1059,1269,2804,2976,4053,1062,940,1549,853,776,763,487,1038,558,743,1217,1545,815,927,1566,912,701,601
